企业名(name),中文名(name_cn),当前一级(tag_l1),当前二级(tag_l2),被审目标标签,是否问题(是/否),原二级(被审那个),建议二级(若问题),理由(≤40字),国家(country),简介(description简)
可靠股份,可靠股份,金融保险,产业资本,产业资本,否,产业资本,,,,"成人失禁护理用品龙头企业，A股上市（301298），旗下""可靠""品牌是国内成人纸尿裤头部品牌，产品覆盖成人失禁护理全品类"
善诊,善诊,医疗健康,健康管理,健康管理,否,健康管理,,,,成立于2015年，上海，老年体检服务平台。通过整合全国体检机构资源，为老年人和企业客户提供专业体检服务及健康管理方案。累
奕然康复,奕然康复,医疗健康|智能科技|消费品,医疗器械|智能硬件|机器人,智能硬件,否,智能硬件,,,,康复医疗设备研发企业，专注于康复机器人及智能康复解决方案。
安护通,安护通,养老服务|医疗健康,健康管理|居家护理|慢病管理,健康管理,是,健康管理,慢病管理,糖尿病/慢病属慢病管理,,居家护理服务平台，提供专业护理员上门服务，覆盖居家养老、术后护理、慢病管理等场景。
安护通,安护通,养老服务|医疗健康,健康管理|居家护理|慢病管理,居家护理,否,居家护理,,,,居家护理服务平台，提供专业护理员上门服务，覆盖居家养老、术后护理、慢病管理等场景。
安杰莱,安杰莱,医疗健康|智能科技|消费品,康复医疗|智能硬件|机器人,智能硬件,否,智能硬件,,,,医疗机器人企业，专注于康复外骨骼机器人研发，为卒中、脊髓损伤等患者提供下肢康复训练方案。
小年糕,小年糕,文娱社交,文娱|社交平台,文娱,否,文娱,,,,中老年短视频和影集制作应用，微信生态内头部小程序，服务数亿用户，是银发群体最常用的内容创作工具之一。
小年糕,小年糕,文娱社交,文娱|社交平台,社交平台,否,社交平台,,,,中老年短视频和影集制作应用，微信生态内头部小程序，服务数亿用户，是银发群体最常用的内容创作工具之一。
小橙,小橙,养老服务|消费品,专业护理|居家护理|智能硬件,居家护理,否,居家护理,,,,智慧养老解决方案提供商，为养老机构提供智能化硬件和SaaS管理系统。
小橙,小橙,养老服务|消费品,专业护理|居家护理|智能硬件,专业护理,否,专业护理,,,,智慧养老解决方案提供商，为养老机构提供智能化硬件和SaaS管理系统。
小橙,小橙,养老服务|消费品,专业护理|居家护理|智能硬件,智能硬件,否,智能硬件,,,,智慧养老解决方案提供商，为养老机构提供智能化硬件和SaaS管理系统。
彩视,彩视,文娱社交,文娱|社交平台,文娱,否,文娱,,,,中老年短视频社交平台，提供视频制作、社区互动等功能，主要面向银发群体。
彩视,彩视,文娱社交,文娱|社交平台,社交平台,否,社交平台,,,,中老年短视频社交平台，提供视频制作、社区互动等功能，主要面向银发群体。
心智青,心智青,文娱社交,文娱|社交平台,文娱,否,文娱,,,,中老年文娱教育平台，提供线下课程和社区活动，聚焦中老年精神文化需求。
心智青,心智青,文娱社交,文娱|社交平台,社交平台,否,社交平台,,,,中老年文娱教育平台，提供线下课程和社区活动，聚焦中老年精神文化需求。
悦心健康,悦心健康,金融保险,产业资本,产业资本,否,产业资本,,,,A股上市公司（002162，原斯米克），从建筑陶瓷业务转型大健康与养老服务，布局康养社区、康复医疗和老年教育。
抚理健康,抚理健康,养老服务,专业护理|居家护理,居家护理,否,居家护理,,,,居家养老护理服务商，提供专业护理员上门服务，覆盖生活照料、医疗护理、康复陪伴等。
抚理健康,抚理健康,养老服务,专业护理|居家护理,专业护理,否,专业护理,,,,居家养老护理服务商，提供专业护理员上门服务，覆盖生活照料、医疗护理、康复陪伴等。
易得康,易得康,养老服务,专业护理|居家护理,居家护理,否,居家护理,,,,居家养老护理服务品牌，提供专业护理员上门服务，服务覆盖长三角等地区。
易得康,易得康,养老服务,专业护理|居家护理,专业护理,否,专业护理,,,,居家养老护理服务品牌，提供专业护理员上门服务，服务覆盖长三角等地区。
橙医健康,橙医健康,医疗健康,健康管理|慢病管理,健康管理,否,健康管理,,,,老年健康管理和陪诊服务平台，提供就医陪同、健康体检、慢病管理等服务。
清澜技术,清澜技术,医疗健康,健康监测|健康管理,健康管理,否,健康管理,,,,智慧养老技术企业，专注于物联网和AI技术在养老场景的应用。
清澜技术,清澜技术,医疗健康,健康监测|健康管理,健康监测,否,健康监测,,,,智慧养老技术企业，专注于物联网和AI技术在养老场景的应用。
清雷,清雷,医疗健康,健康监测|健康管理,健康管理,否,健康管理,,,,毫米波雷达健康监测企业，通过非接触式传感器实现跌倒检测、睡眠监测、生命体征监测等智慧养老功能。
清雷,清雷,医疗健康,健康监测|健康管理,健康监测,否,健康监测,,,,毫米波雷达健康监测企业，通过非接触式传感器实现跌倒检测、睡眠监测、生命体征监测等智慧养老功能。
点可,点可,医疗健康,健康监测|健康管理,健康管理,否,健康管理,,,,智慧养老SaaS平台提供商，为养老机构提供运营管理和信息化解决方案。
点可,点可,医疗健康,健康监测|健康管理,健康监测,否,健康监测,,,,智慧养老SaaS平台提供商，为养老机构提供运营管理和信息化解决方案。
特霍芬,特霍芬,养老服务|医疗健康,养老机构|认知症|适老化,认知症,否,认知症,,,,适老化技术和智慧养老解决方案提供商，聚焦老年人居住环境智能化改造。
特霍芬,特霍芬,养老服务|医疗健康,养老机构|认知症|适老化,适老化,否,适老化,,,,适老化技术和智慧养老解决方案提供商，聚焦老年人居住环境智能化改造。
百芝龙,百芝龙,养老服务|医疗健康,健康监测|健康管理|居家护理,健康管理,否,健康管理,,,,智能家居和智慧养老企业，提供基于AIoT的居家养老安全监测解决方案。
百芝龙,百芝龙,养老服务|医疗健康,健康监测|健康管理|居家护理,健康监测,否,健康监测,,,,智能家居和智慧养老企业，提供基于AIoT的居家养老安全监测解决方案。
百芝龙,百芝龙,养老服务|医疗健康,健康监测|健康管理|居家护理,居家护理,否,居家护理,,,,智能家居和智慧养老企业，提供基于AIoT的居家养老安全监测解决方案。
福寿康,福寿康,养老服务,专业护理|居家护理,居家护理,否,居家护理,,,,国内头部居家养老护理服务连锁品牌，成立于上海，业务覆盖全国数十个城市，提供居家护理、长护险服务、康复训练等。已完成多轮融
福寿康,福寿康,养老服务,专业护理|居家护理,专业护理,否,专业护理,,,,国内头部居家养老护理服务连锁品牌，成立于上海，业务覆盖全国数十个城市，提供居家护理、长护险服务、康复训练等。已完成多轮融
程天,程天,医疗健康|康复辅具|消费品,外骨骼|康复医疗|智能硬件,智能硬件,否,智能硬件,,,,外骨骼机器人研发企业，专注于康复和助行外骨骼，为老年人和行动不便人群提供智能助行方案。
红松学堂,红松学堂,文娱社交,文娱|社交平台,文娱,否,文娱,,,,中老年在线兴趣学习平台，提供太极、声乐、书法、舞蹈等直播课程，累计服务数百万中老年用户。
红松学堂,红松学堂,文娱社交,文娱|社交平台,社交平台,否,社交平台,,,,中老年在线兴趣学习平台，提供太极、声乐、书法、舞蹈等直播课程，累计服务数百万中老年用户。
织生科技,织生科技,养老服务|医疗健康,养老机构|认知症,认知症,否,认知症,,,,脑科学与数字疗法企业，专注于认知功能评估和训练，为认知障碍提供数字化干预方案。
美好盛年,美好盛年,文娱社交,文娱|旅游|社交平台,文娱,否,文娱,,,,中老年文娱教育平台，提供线下课程、旅游社交等服务，聚焦55-70岁人群精神文化需求。
美好盛年,美好盛年,文娱社交,文娱|旅游|社交平台,社交平台,否,社交平台,,,,中老年文娱教育平台，提供线下课程、旅游社交等服务，聚焦55-70岁人群精神文化需求。
美篇,美篇,文娱社交,文娱|社交平台,文娱,否,文娱,,,,中老年图文创作社区，微信生态内热门应用，提供图文排版、影集制作等功能，是银发群体重要的内容创作和分享平台。
美篇,美篇,文娱社交,文娱|社交平台,社交平台,否,社交平台,,,,中老年图文创作社区，微信生态内热门应用，提供图文排版、影集制作等功能，是银发群体重要的内容创作和分享平台。
苗米,苗米,医疗健康,健康监测|健康管理,健康管理,否,健康管理,,,,智慧养老相关企业，提供养老信息化和智能化解决方案。
苗米,苗米,医疗健康,健康监测|健康管理,健康监测,否,健康监测,,,,智慧养老相关企业，提供养老信息化和智能化解决方案。
迈步,迈步,医疗健康|智能科技|消费品,康复医疗|智能硬件|机器人,智能硬件,否,智能硬件,,,,康复机器人企业，专注于下肢康复外骨骼机器人研发，为卒中患者和老年人提供康复训练方案。
远也,远也,医疗健康|康复辅具|消费品,外骨骼|康复医疗|智能硬件,智能硬件,否,智能硬件,,,,柔性外骨骼和智能穿戴企业，研发轻便型助行外骨骼，为老年人和行动不便人群提供日常助行支持。
量子之歌,量子之歌,文娱社交,文娱|社交平台,文娱,否,文娱,,,,在线教育集团（NASDAQ: QSG），旗下启牛学堂等品牌，提供金融素养和兴趣学习课程，中老年用户占比显著。
量子之歌,量子之歌,文娱社交,文娱|社交平台,社交平台,否,社交平台,,,,在线教育集团（NASDAQ: QSG），旗下启牛学堂等品牌，提供金融素养和兴趣学习课程，中老年用户占比显著。
闲趣岛,闲趣岛,文娱社交,文娱|旅游|社交平台,文娱,否,文娱,,,,中老年社交文娱平台，提供兴趣社区、线上课程、旅游社交等服务。
闲趣岛,闲趣岛,文娱社交,文娱|旅游|社交平台,社交平台,否,社交平台,,,,中老年社交文娱平台，提供兴趣社区、线上课程、旅游社交等服务。
集思鸣智,集思鸣智,养老服务|医疗健康,养老机构|认知症,认知症,否,认知症,,,,脑科学与认知健康企业，提供认知功能评估和训练解决方案。
颐养通,颐养通,养老服务,适老化|适老化改造,适老化,否,适老化,,,,智慧养老信息化平台，为养老机构和社区提供运营管理SaaS系统。
颐家,颐家,养老服务,专业护理|居家护理,居家护理,否,居家护理,,,,居家养老护理服务商，成立于上海，提供居家护理、康复、陪护等服务，是上海长护险定点服务机构。
颐家,颐家,养老服务,专业护理|居家护理,专业护理,否,专业护理,,,,居家养老护理服务商，成立于上海，提供居家护理、康复、陪护等服务，是上海长护险定点服务机构。
颐讯,颐讯,养老服务,适老化|适老化改造,适老化,否,适老化,,,,养老信息化服务商，为养老机构提供管理系统和运营支持工具。
鲸鱼陪诊,鲸鱼陪诊,养老服务|医疗健康,健康管理|居家护理,健康管理,否,健康管理,,,,专业陪诊服务平台，为老年人、孕妇等提供就医陪同、代办服务等。
鲸鱼陪诊,鲸鱼陪诊,养老服务|医疗健康,健康管理|居家护理,居家护理,否,居家护理,,,,专业陪诊服务平台，为老年人、孕妇等提供就医陪同、代办服务等。
鹤灵医疗,鹤灵医疗,养老服务|医疗健康,养老机构|认知症,认知症,否,认知症,,,,医疗健康企业，专注于老年医疗和康复领域。
麦麦养老,麦麦养老,养老服务|消费品,智能硬件|适老化|适老化改造,适老化,否,适老化,,,,智慧养老解决方案提供商，为养老机构和社区提供智能化管理平台和硬件设备。
麦麦养老,麦麦养老,养老服务|消费品,智能硬件|适老化|适老化改造,智能硬件,否,智能硬件,,,,智慧养老解决方案提供商，为养老机构和社区提供智能化管理平台和硬件设备。
BAI资本,BAI资本,金融保险,产业资本,产业资本,否,产业资本,,,,贝塔斯曼亚洲投资基金（Bertelsmann Asia Investments），关注消费、教育、医疗健康领域的早期和成
CMEF,,文娱社交|消费品,咨询研究|智能硬件,智能硬件,否,智能硬件,,,,中国国际医疗器械博览会（China Medical Equipment Fair），每年春秋两届，是中国最大的医疗器械及
OKCS,,养老服务,居家护理,居家护理,否,居家护理,,,,OKCS（居家康养服务平台），提供居家养老服务标准化解决方案，涵盖护理员培训、服务派单、质量管理等环节。
SIC保利老博会,SIC保利老博会,文娱社交|消费品,咨询研究|智能硬件,智能硬件,否,智能硬件,,,,保利国际老博会（SIC），由保利集团主办，聚焦养老产业全链条，包括养老地产、康养设备、养老服务等领域。
VTN,,食品营养,保健品,保健品,否,保健品,,,,VTN是澳大利亚高端健康品牌购物平台，聚焦营养保健品、护肤品等领域，在银发健康消费市场有布局。
WonderLab,,食品营养,保健品|营养食品,保健品,否,保健品,,,,WonderLab是中国新锐营养品牌，聚焦肠道健康、代餐等产品，在银发健康营养市场有一定布局。
一号护工,一号护工,养老服务,专业护理|居家护理,居家护理,否,居家护理,,,,一号护工是居家养老护理服务平台，提供专业护理员上门服务，涵盖生活照料、医疗护理、康复训练等。
一号护工,一号护工,养老服务,专业护理|居家护理,专业护理,否,专业护理,,,,一号护工是居家养老护理服务平台，提供专业护理员上门服务，涵盖生活照料、医疗护理、康复训练等。
一家依,一家依,养老服务,养老社区|居家护理,居家护理,否,居家护理,,,,一家依是社区居家养老服务平台，提供日间照料、上门护理、老年餐桌等服务，深耕社区场景。
一康,一康,医疗健康|消费品,医疗器械|康复医疗|智能硬件,智能硬件,否,智能硬件,,,,一康是康复医疗设备品牌，专注于智能康复训练设备研发，服务养老机构和社区康复中心。
一龄集团,一龄集团,医疗健康|金融保险,产业资本|健康管理,健康管理,否,健康管理,,,,一龄集团是大健康产业集团，布局生命养护、健康管理、医疗旅游等业务，在银发健康管理领域有深度布局。
一龄集团,一龄集团,医疗健康|金融保险,产业资本|健康管理,产业资本,是,产业资本,健康管理,产业资本为背景标签，真实业务为健康管理（建议移除）,,一龄集团是大健康产业集团，布局生命养护、健康管理、医疗旅游等业务，在银发健康管理领域有深度布局。
万德厨,万德厨,养老服务|消费品,专业护理|智能硬件|适老化,专业护理,否,专业护理,,,,万德厨是适老化厨房解决方案品牌，专注于老年人厨房安全改造、智能厨房设备研发。
万德厨,万德厨,养老服务|消费品,专业护理|智能硬件|适老化,适老化,否,适老化,,,,万德厨是适老化厨房解决方案品牌，专注于老年人厨房安全改造、智能厨房设备研发。
万德厨,万德厨,养老服务|消费品,专业护理|智能硬件|适老化,智能硬件,否,智能硬件,,,,万德厨是适老化厨房解决方案品牌，专注于老年人厨房安全改造、智能厨房设备研发。
三替护理,三替护理,养老服务,专业护理|居家护理,居家护理,否,居家护理,,,,三替护理是居家养老护理服务品牌，提供专业护理员上门、医院陪护、居家照料等服务，深耕浙江市场。
三替护理,三替护理,养老服务,专业护理|居家护理,专业护理,否,专业护理,,,,三替护理是居家养老护理服务品牌，提供专业护理员上门、医院陪护、居家照料等服务，深耕浙江市场。
世道,世道,养老服务,居家护理|适老化,居家护理,否,居家护理,,,,世道（SHIDO）是智能护理床品牌，专注于多功能电动护理床研发制造，产品覆盖养老机构和居家场景。
世道,世道,养老服务,居家护理|适老化,适老化,否,适老化,,,,世道（SHIDO）是智能护理床品牌，专注于多功能电动护理床研发制造，产品覆盖养老机构和居家场景。
中匠福,中匠福,养老服务,居家护理|适老化|适老化改造,居家护理,否,居家护理,,,,中匠福是适老化改造服务品牌，提供居家适老化改造、养老机构装修等一站式解决方案。
中匠福,中匠福,养老服务,居家护理|适老化|适老化改造,适老化,否,适老化,,,,中匠福是适老化改造服务品牌，提供居家适老化改造、养老机构装修等一站式解决方案。
中顺洁柔,中顺洁柔,金融保险,产业资本,产业资本,否,产业资本,,,,中顺洁柔是国内生活用纸龙头品牌，在银发日用品消费市场占据重要地位，已上市。
乐力,乐力,医疗健康|食品营养,保健品|营养食品|认知症,认知症,是,认知症,营养食品,真实业务更贴合营养食品,,乐力是营养保健品品牌，专注钙补充剂和肠道健康产品，在银发保健品市场有广泛认知度。
乐力,乐力,医疗健康|食品营养,保健品|营养食品|认知症,保健品,否,保健品,,,,乐力是营养保健品品牌，专注钙补充剂和肠道健康产品，在银发保健品市场有广泛认知度。
乐唱族,乐唱族,文娱社交,文娱|社交平台,文娱,否,文娱,,,,乐唱族是中老年在线K歌社交平台，提供线上唱歌、交友等娱乐服务。
乐唱族,乐唱族,文娱社交,文娱|社交平台,社交平台,否,社交平台,,,,乐唱族是中老年在线K歌社交平台，提供线上唱歌、交友等娱乐服务。
乐陪护,乐陪护,养老服务,专业护理|居家护理,居家护理,否,居家护理,,,,乐陪护是医院陪护和居家养老护理服务平台，提供专业陪护人员上门服务。
乐陪护,乐陪护,养老服务,专业护理|居家护理,专业护理,否,专业护理,,,,乐陪护是医院陪护和居家养老护理服务平台，提供专业陪护人员上门服务。
乐龄圈,乐龄圈,文娱社交,文娱|社交平台,文娱,否,文娱,,,,乐龄圈是中老年社区社交平台，提供兴趣社交、活动组织和资讯服务。
乐龄圈,乐龄圈,文娱社交,文娱|社交平台,社交平台,否,社交平台,,,,乐龄圈是中老年社区社交平台，提供兴趣社交、活动组织和资讯服务。
云芯信息,云芯信息,养老服务|消费品,适老化改造|智能硬件,智能硬件,否,智能硬件,,,,云芯信息是适老化产品品牌，专注老年人居家环境改造和适老化设备研发。
互邦,互邦,养老服务,适老化,适老化,否,适老化,,,,互邦是康复辅具品牌，专注轮椅、助行器等康复辅助器具研发制造，服务老年和残障人群。
享佳健康,享佳健康,医疗健康|食品营养,保健品|慢病管理,保健品,否,保健品,,,,享佳健康是中老年健康管理服务平台，提供健康咨询、保健品销售和慢病管理服务。
享睡,享睡,医疗健康,健康监测|健康管理,健康管理,否,健康管理,,,,享睡是睡眠健康品牌，专注老年人睡眠监测和睡眠改善产品。
享睡,享睡,医疗健康,健康监测|健康管理,健康监测,否,健康监测,,,,享睡是睡眠健康品牌，专注老年人睡眠监测和睡眠改善产品。
亿芃健康,亿芃健康,养老服务|消费品,智能硬件|适老化,适老化,否,适老化,,,,亿芃健康是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
亿芃健康,亿芃健康,养老服务|消费品,智能硬件|适老化,智能硬件,否,智能硬件,,,,亿芃健康是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
今旭面业,今旭面业,食品营养,保健品,保健品,否,保健品,,,,今旭面业是面食品牌，推出适合老年人消化的营养面条产品线。
仙乐健康,仙乐健康,食品营养,保健品,保健品,否,保健品,,,,仙乐健康是营养保健食品CDMO龙头，为全球品牌提供营养保健品研发和代工服务，在银发营养市场有深度布局，已上市。
伊对,伊对,文娱社交,文娱|相亲|社交平台,文娱,否,文娱,,,,伊对是下沉市场婚恋社交平台，专注视频相亲交友，在中老年单身群体中有较高使用率。
伊对,伊对,文娱社交,文娱|相亲|社交平台,社交平台,否,社交平台,,,,伊对是下沉市场婚恋社交平台，专注视频相亲交友，在中老年单身群体中有较高使用率。
优加健康,优加健康,医疗健康|金融保险,保险|健康管理|慢病管理,健康管理,否,健康管理,,,,优加健康是健康管理平台，提供中老年慢病管理和健康保险服务。
优复门诊,优复门诊,医疗健康|消费品,康复医疗|慢病管理|智能硬件,智能硬件,否,智能硬件,,,,优复门诊是康复医疗连锁机构，提供运动康复、术后康复、老年慢病康复等服务，在上海等一线城市运营。
优必选,优必选,养老服务|智能科技,机器人|适老化,适老化,否,适老化,,,,优必选科技是人形机器人和智能机器人研发商，在养老陪护机器人、康复训练机器人领域有布局，已在港交所上市。
优生活,优生活,食品营养,保健品,保健品,否,保健品,,,,优生活是中老年消费品品牌，专注适合老年人的日常用品和健康食品。
余生幸福,余生幸福,文娱社交,文娱|相亲|社交平台,文娱,否,文娱,,,,余生幸福是中老年婚恋社交平台，专注银发群体的相亲交友服务。
余生幸福,余生幸福,文娱社交,文娱|相亲|社交平台,社交平台,否,社交平台,,,,余生幸福是中老年婚恋社交平台，专注银发群体的相亲交友服务。
佛山建泰,佛山建泰,养老服务,适老化,适老化,否,适老化,,,,佛山建泰是适老化建材品牌，专注防滑地板、无障碍扶手等适老化装修材料。
佛山永爱,佛山永爱,养老服务,适老化|适老化改造,适老化,否,适老化,,,,佛山永爱是适老化家具和养老机构配套设施品牌，为养老机构提供整体适老化空间解决方案。
作为科技,作为科技,养老服务|医疗健康|消费品,健康监测|适老化|智能硬件,健康监测,否,健康监测,,,,作为科技是智能适老化产品研发商，专注防跌倒监测、睡眠监测等智慧养老设备。
作为科技,作为科技,养老服务|医疗健康|消费品,健康监测|适老化|智能硬件,适老化,否,适老化,,,,作为科技是智能适老化产品研发商，专注防跌倒监测、睡眠监测等智慧养老设备。
作为科技,作为科技,养老服务|医疗健康|消费品,健康监测|适老化|智能硬件,智能硬件,否,智能硬件,,,,作为科技是智能适老化产品研发商，专注防跌倒监测、睡眠监测等智慧养老设备。
佰丝堂,佰丝堂,食品营养,保健品,保健品,是,保健品,营养食品,实为营养食品/膳食,,佰丝堂是中医养生品牌，提供中药调理、药膳食疗等传统中医养生服务。
依瑞德,依瑞德,医疗健康|消费品,医疗器械|智能硬件,智能硬件,否,智能硬件,,,,依瑞德是医疗设备品牌，专注经颅磁刺激（TMS）等神经调控设备研发，在老年抑郁、认知障碍治疗领域有应用。
倍益康,倍益康,养老服务|消费品,居家护理|智能硬件,居家护理,是,居家护理,康复医疗,真实业务更贴合康复医疗,,倍益康是康复理疗设备品牌，研发生产颈腰椎牵引设备、理疗仪等产品，服务社区康复和居家康复场景。
倍益康,倍益康,养老服务|消费品,居家护理|智能硬件,智能硬件,否,智能硬件,,,,倍益康是康复理疗设备品牌，研发生产颈腰椎牵引设备、理疗仪等产品，服务社区康复和居家康复场景。
倍轻松,倍轻松,消费品,智能硬件,智能硬件,否,智能硬件,,,,倍轻松是智能健康硬件品牌，专注眼部、颈部、头部按摩器研发制造，在银发健康消费市场有广泛布局，已上市。
健特药业,健特药业,食品营养,保健品,保健品,否,保健品,,,,健特药业是保健品品牌，旗下脑白金是中国最知名的老年保健品之一。
健行仿生,健行仿生,养老服务|康复辅具,外骨骼|适老化,适老化,否,适老化,,,,健行仿生（BionicM）是外骨骼机器人研发商，专注智能假肢和外骨骼产品，帮助老年人和残障人士恢复行动能力。
元气家族,元气家族,食品营养,保健品|营养食品,保健品,否,保健品,,,,元气家族是健康营养品品牌，专注中老年维生素和矿物质补充剂。
兆观,兆观,医疗健康|消费品,健康监测|健康管理|智能硬件,健康管理,否,健康管理,,,,兆观是睡眠监测和呼吸健康设备品牌，专注老年人睡眠呼吸监测产品。
兆观,兆观,医疗健康|消费品,健康监测|健康管理|智能硬件,健康监测,否,健康监测,,,,兆观是睡眠监测和呼吸健康设备品牌，专注老年人睡眠呼吸监测产品。
兆观,兆观,医疗健康|消费品,健康监测|健康管理|智能硬件,智能硬件,否,智能硬件,,,,兆观是睡眠监测和呼吸健康设备品牌，专注老年人睡眠呼吸监测产品。
养乃世家,养乃世家,食品营养,保健品|营养食品,保健品,否,保健品,,,,养乃世家是羊奶品牌，专注中老年配方羊奶粉，在银发营养食品市场有较高知名度。
冬泽,冬泽,食品营养,保健品|营养食品,保健品,否,保健品,,,,冬泽是特殊医学用途配方食品品牌，专注肠内营养液和老年营养补充剂。
凌晴翔,凌晴翔,养老服务|消费品,智能硬件|适老化,适老化,否,适老化,,,,凌晴翔是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
凌晴翔,凌晴翔,养老服务|消费品,智能硬件|适老化,智能硬件,否,智能硬件,,,,凌晴翔是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
动龄健康,动龄健康,文娱社交,文娱|社交平台,文娱,否,文娱,,,,动龄健康是老年运动健康平台，提供适合老年人的运动课程和健康监测服务。
动龄健康,动龄健康,文娱社交,文娱|社交平台,社交平台,否,社交平台,,,,动龄健康是老年运动健康平台，提供适合老年人的运动课程和健康监测服务。
匹奇,匹奇,消费品,智能硬件,智能硬件,否,智能硬件,,,,匹奇是健康器械品牌，专注家用理疗设备、按摩器等银发健康产品。
医护到家,医护到家,养老服务,专业护理|居家护理,居家护理,否,居家护理,,,,医护到家是上门医疗护理服务平台，提供护士上门、护理员上门等服务，专注老年居家医疗需求。
医护到家,医护到家,养老服务,专业护理|居家护理,专业护理,否,专业护理,,,,医护到家是上门医疗护理服务平台，提供护士上门、护理员上门等服务，专注老年居家医疗需求。
千骥资本,千骥资本,金融保险,产业资本,产业资本,否,产业资本,,,,千骥资本是专注医疗健康领域的风险投资基金，在老年医疗、康复护理等银发经济赛道有多个投资布局。
半月浮生,半月浮生,文娱社交,文娱,文娱,否,文娱,,,,半月浮生是中老年文化内容品牌，专注银发群体的兴趣课程和文化产品。
华友健身,华友健身,文娱社交,健身|文娱|社交平台,文娱,否,文娱,,,,华友健身是健身品牌，推出适合老年人的低强度健身课程和运动方案。
华友健身,华友健身,文娱社交,健身|文娱|社交平台,社交平台,否,社交平台,,,,华友健身是健身品牌，推出适合老年人的低强度健身课程和运动方案。
卓牧,卓牧,食品营养,保健品,保健品,否,保健品,,,,卓牧是羊奶品牌，专注中老年配方羊奶产品，在银发乳制品市场有布局。
南京携才,南京携才,养老服务,专业护理|居家护理,居家护理,否,居家护理,,,,南京携才是居家养老服务平台，提供社区养老、居家护理等服务，深耕江苏市场。
南京携才,南京携才,养老服务,专业护理|居家护理,专业护理,否,专业护理,,,,南京携才是居家养老服务平台，提供社区养老、居家护理等服务，深耕江苏市场。
博博科技,博博科技,医疗健康|消费品,健康监测|健康管理|智能硬件,健康管理,否,健康管理,,,,博博科技是智能健康设备研发商，专注老年人跌倒检测和健康监测可穿戴设备。
博博科技,博博科技,医疗健康|消费品,健康监测|健康管理|智能硬件,健康监测,否,健康监测,,,,博博科技是智能健康设备研发商，专注老年人跌倒检测和健康监测可穿戴设备。
博博科技,博博科技,医疗健康|消费品,健康监测|健康管理|智能硬件,智能硬件,否,智能硬件,,,,博博科技是智能健康设备研发商，专注老年人跌倒检测和健康监测可穿戴设备。
博远资本,博远资本,金融保险,产业资本,产业资本,否,产业资本,,,,博远资本是专注医疗健康产业的投资基金，在创新药、医疗器械和老年健康领域有投资布局。
博音,博音,养老服务|消费品,助听器|智能硬件|适老化,适老化,否,适老化,,,,博音是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
博音,博音,养老服务|消费品,助听器|智能硬件|适老化,智能硬件,否,智能硬件,,,,博音是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
