name,name_cn,tag_l1,tag_l2,business_tags_customer,business_tags_role,business_tags_channel
颐讯,颐讯,养老住房;生活照护,适老化产品;适老化改造,B2B+B2C,服务商,
鲸鱼陪诊,鲸鱼陪诊,医疗健康;生活照护,健康管理;居家护理,B2C,服务商,
鹤灵医疗,鹤灵医疗,养老住房;医疗健康,养老机构;认知症,未标注,服务商,
麦麦养老,麦麦养老,养老住房;消费品;生活照护,智能硬件;适老化产品;适老化改造,B2B+B2C,平台,
AID上海老博会,AID上海老博会,产业服务,咨询研究,B2B,服务商(媒体/数据),
BAI资本,BAI资本,金融保险,产业资本,B2C,服务商,
CMEF,,产业服务;消费品,咨询研究;智能硬件,B2B,制造商(硬件/设备),
EE广州老博会,EE广州老博会,产业服务,咨询研究,B2B,服务商(媒体/数据),
ITH康养家,ITH康养家,产业服务;智能科技,数字化;行业媒体,B2B,服务商(媒体/数据),
OKCS,,生活照护,居家护理,B2B+B2C,平台,
SIC保利老博会,SIC保利老博会,产业服务;消费品,咨询研究;智能硬件,B2B+B2C,制造商(硬件/设备),
VTN,,食品营养,保健品,B2C,制造商(消费品),
WonderLab,,食品营养,保健品;营养食品,B2C,制造商(消费品),
一号护工,一号护工,生活照护,专业护理;居家护理,B2B+B2C,平台,
一味盛长,一味盛长,医疗健康;食品营养,保健品;健康管理,未标注,服务商,
一家依,一家依,养老住房;生活照护,养老社区;居家护理,B2B+B2C,平台,
一康,一康,医疗健康;康复辅具;消费品,医疗器械;康复;智能硬件,B2B+B2C,平台,
一龄集团,一龄集团,医疗健康;文娱社交;金融保险,产业资本;健康管理;旅游,B2C,服务商,
万德厨,万德厨,消费品;生活照护,专业护理;智能硬件;适老化产品,B2B+B2C,制造商(硬件/设备),
三替护理,三替护理,生活照护,专业护理;居家护理,B2B+B2C,平台,
上品折扣,上品折扣,渠道零售,银发零售,B2B,服务商(媒体/数据),
上海剪爱,上海剪爱,消费品,个护,未标注,服务商,
世道,世道,消费品;生活照护,居家护理;辅具,B2B+B2C,平台,
东方华康,东方华康,养老住房;医疗健康,养老社区;慢病管理,B2B+B2C,服务商,
东方购物,东方购物,智能科技;渠道零售,数字化;银发零售,B2B,服务商(媒体/数据),
中匠福,中匠福,养老住房;生活照护,居家护理;适老化产品;适老化改造,B2B+B2C,平台,
中金佰仁堂,中金佰仁堂,养老住房,养老社区,B2B+B2C,平台,
中顺洁柔,中顺洁柔,金融保险,产业资本,未标注,上市公司,
乐力,乐力,医疗健康;食品营养,保健品;营养食品;认知症,B2C,制造商(消费品),
乐唱族,乐唱族,文娱社交,社交平台;老年文娱,B2C,平台,线上
乐成养老,乐成养老,养老住房,养老社区,B2B+B2C,平台,
乐陪护,乐陪护,生活照护,专业护理;居家护理,B2B+B2C,平台,
乐龄圈,乐龄圈,文娱社交,社交平台;老年文娱,B2B+B2C,平台,
九如城,九如城,养老住房,养老社区,B2B+B2C,服务商,
云芯信息,云芯信息,养老住房;消费品;生活照护,居家护理;智能硬件;适老化产品;适老化改造,B2B+B2C,平台,
云货优选,云货优选,渠道零售,电商,B2C,平台,线上
互邦,互邦,消费品,辅具,B2B,技术服务商,
享佳健康,享佳健康,医疗健康;食品营养,保健品;慢病管理,B2C,制造商(消费品),
享睡,享睡,医疗健康,健康监测;健康管理,B2C,服务商,
亲和源,亲和源,养老住房;文娱社交,养老社区;旅游,未标注,上市公司,
人寿堂,人寿堂,医疗健康;食品营养,保健品;健康管理,B2B+B2C,平台,
亿芃健康,亿芃健康,消费品;生活照护,智能硬件;辅具;适老化产品,B2B+B2C,制造商(硬件/设备),
今旭面业,今旭面业,食品营养,保健品,B2C,制造商(消费品),
仙乐健康,仙乐健康,食品营养,保健品,未标注,上市公司,
令羽,令羽,消费品,鞋服,B2B,服务商(媒体/数据),
伊对,伊对,文娱社交,相亲;社交平台;老年文娱,B2C,平台,
优加健康,优加健康,医疗健康,健康管理;慢病管理,B2B+B2C,服务商,
优复门诊,优复门诊,医疗健康;康复辅具;消费品,康复;慢病管理;智能硬件,B2B+B2C,服务商,
优必选,优必选,智能科技;消费品,机器人;辅具,未标注,上市公司,
优生活,优生活,食品营养,保健品,B2C,制造商(消费品),
余生幸福,余生幸福,文娱社交,社交平台;老年文娱,B2C,平台,
佛山建泰,佛山建泰,消费品;生活照护,辅具;适老化产品,未标注,服务商,
佛山永爱,佛山永爱,养老住房;生活照护,适老化产品;适老化改造,B2C,服务商,
作为科技,作为科技,医疗健康;智能科技;消费品;生活照护,机器人;辅具;健康监测;适老化产品;专业护理,B2B+B2C,制造商(硬件/设备),
佰丝堂,佰丝堂,食品营养,保健品,B2B,服务商(媒体/数据),
依瑞德,依瑞德,医疗健康;康复辅具;消费品,医疗器械;康复;智能硬件;认知症,B2B+B2C,制造商(硬件/设备),
倍益康,倍益康,消费品;生活照护,居家护理;智能硬件,B2B+B2C,平台,
倍轻松,倍轻松,消费品,智能硬件,未标注,上市公司,
健特药业,健特药业,食品营养,保健品,B2C,制造商(消费品),
健行仿生,健行仿生,康复辅具;消费品,外骨骼;辅具,B2B+B2C,服务商,
元气家族,元气家族,食品营养,保健品;营养食品,B2C,制造商(消费品),
兆观,兆观,医疗健康;消费品,健康监测;健康管理;智能硬件,B2B+B2C,制造商(硬件/设备),
光大养老,光大养老,养老住房,养老社区,B2B+B2C,平台,
养乃世家,养乃世家,食品营养,保健品;营养食品,B2C,制造商(消费品),
冬泽,冬泽,食品营养,保健品;营养食品,B2C,制造商(消费品),
凌晴翔,凌晴翔,消费品;生活照护,智能硬件;辅具;适老化产品,B2B+B2C,制造商(硬件/设备),
初新养老,初新养老,养老住房,养老社区,B2B+B2C,平台,
动龄健康,动龄健康,文娱社交,社交平台;老年文娱,B2C,服务商,
匹奇,匹奇,消费品,智能硬件,B2B,制造商(硬件/设备),
医护到家,医护到家,生活照护,专业护理;居家护理,B2B+B2C,平台,
千骥资本,千骥资本,金融保险,产业资本,B2B+B2C,服务商,
半月浮生,半月浮生,文娱社交,老年文娱,B2B,服务商(媒体/数据),
华友健身,华友健身,文娱社交,健身;社交平台;老年文娱,B2C,服务商,
华润维麟,华润维麟,养老住房,养老社区,B2B+B2C,平台,
卓牧,卓牧,食品营养,保健品,未标注,服务商,
南京携才,南京携才,生活照护,专业护理;居家护理,B2B+B2C,平台,
博博科技,博博科技,医疗健康;消费品,健康监测;健康管理;智能硬件,B2C,制造商(硬件/设备),
博远资本,博远资本,金融保险,产业资本,B2B,制造商(硬件/设备),
博音,博音,消费品;生活照护,助听器;智能硬件;辅具;适老化产品,B2B+B2C,制造商(硬件/设备),
厚福,厚福,消费品,智能硬件;辅具,B2B+B2C,服务商,
友达颐康,友达颐康,养老住房;生活照护,居家护理;适老化产品;适老化改造,B2B+B2C,平台,
可靠,可靠,消费品,辅具,B2B+B2C,服务商,
台格,台格,生活照护,居家护理;适老化产品,B2B+B2C,平台,
司羿智能,司羿智能,康复辅具;智能科技;消费品,外骨骼;康复;智能硬件;机器人,B2B+B2C,服务商,
同仁堂,同仁堂,食品营养,保健品,B2C,制造商(消费品),
和乐春晖,和乐春晖,养老住房;消费品;生活照护,居家护理;智能硬件;适老化产品;适老化改造,B2B+B2C,平台,
和佳医疗,和佳医疗,医疗健康;康复辅具;消费品,医疗器械;康复;智能硬件,未标注,上市公司,
和君康养,和君康养,养老住房,养老社区,B2B,服务商,
和家健脑,和家健脑,养老住房;医疗健康,养老机构;认知症,未标注,服务商,
品驰,品驰,医疗健康;康复辅具;消费品,医疗器械;康复;智能硬件,B2B,制造商(硬件/设备),
响午,响午,消费品,鞋服,B2C,制造商(硬件/设备),
哺恩,哺恩,养老住房,养老社区,B2B+B2C,平台,
唯艾,唯艾,医疗健康;消费品,健康管理;智能硬件,B2B+B2C,制造商(硬件/设备),
嘉堡护理,嘉堡护理,养老住房,养老社区,B2B+B2C,平台,
嘉年乐,嘉年乐,养老住房;消费品;生活照护,居家护理;智能硬件;适老化产品;适老化改造,B2B+B2C,平台,
国寿大健康,国寿大健康,金融保险,产业资本,未标注,服务商,
国科优选,国科优选,食品营养,保健品,B2C,制造商(消费品),
复星保德信,复星保德信,养老住房,养老社区,B2B+B2C,平台,
夕阳红,夕阳红,消费品;生活照护,智能硬件;辅具;适老化产品,B2B+B2C,制造商(硬件/设备),
多呵,多呵,消费品,个护,B2B,服务商(媒体/数据),
大耳马,大耳马,消费品,助听器,B2C,服务商,
天华设计,天华设计,养老住房;消费品;生活照护,居家护理;智能硬件;适老化产品;适老化改造,B2B+B2C,平台,
天合人康,天合人康,食品营养,保健品,B2C,制造商(消费品),
天壹智慧,天壹智慧,生活照护,专业护理;居家护理,B2B+B2C,平台,
天天好,天天好,食品营养,保健品,B2C,制造商(消费品),
天空树,天空树,消费品,个护,B2B,服务商(媒体/数据),
天鹅到家,天鹅到家,生活照护,专业护理,B2B+B2C,服务商,
太保资本,太保资本,金融保险,产业资本,未标注,服务商,
太平养老,太平养老,养老住房,养老社区,B2B+B2C,平台,
太爱肽,太爱肽,食品营养,保健品,B2C,制造商(消费品),
奥特顺咽,奥特顺咽,消费品;生活照护,智能硬件;辅具;适老化产品,B2B+B2C,制造商(硬件/设备),
女王新款,女王新款,消费品,鞋服,B2B,服务商(媒体/数据),
好孝心,好孝心,食品营养,保健品,B2C,制造商(消费品),
好慷在家,好慷在家,生活照护,专业护理;居家护理,B2B+B2C,平台,
如身机器人,如身机器人,康复辅具;消费品,康复;智能硬件,B2B+B2C,服务商,
孝当先,孝当先,食品营养,保健品,B2C,制造商(消费品),
孝心坊,孝心坊,食品营养,保健品,B2C,制造商(消费品),
安养养老,安养养老,养老住房,养老社区,B2B+B2C,平台,
安养帮,安养帮,养老住房,养老社区,B2B+B2C,平台,
安康通,安康通,生活照护,专业护理;居家护理,B2B+B2C,平台,
安泰康成,安泰康成,医疗健康;康复辅具;消费品,医疗器械;康复;慢病管理;智能硬件,B2B+B2C,制造商(硬件/设备),
安馨康养,安馨康养,养老住房;消费品;生活照护,居家护理;智能硬件;适老化产品;适老化改造,B2B+B2C,平台,
完美亲家,完美亲家,文娱社交,相亲;社交平台;老年文娱,B2C,平台,
家有购物,家有购物,渠道零售,电商,B2B,服务商(媒体/数据),
家瑞康,家瑞康,消费品;生活照护,智能硬件;辅具;适老化产品,B2B+B2C,制造商(硬件/设备),
富伯医疗,富伯医疗,医疗健康;康复辅具;消费品,医疗器械;康复;智能硬件,B2B,制造商(硬件/设备),
寻缘树,寻缘树,文娱社交,社交平台;老年文娱,B2C,平台,线上;线下
寿仙谷,寿仙谷,食品营养,保健品,B2C,制造商(消费品),
尊术医疗,尊术医疗,医疗健康;生活照护,专业护理;慢病管理,B2B+B2C,服务商,
小V助浴,小V助浴,生活照护,专业护理,B2B+B2C,服务商,
小柏家护,小柏家护,生活照护,专业护理;居家护理,B2B+B2C,平台,
小飞哥,小飞哥,消费品;生活照护,智能硬件;辅具;适老化产品,B2B+B2C,制造商(硬件/设备),
尚体乐活,尚体乐活,文娱社交,健身;社交平台;老年文娱,B2C,服务商,
就爱广场舞,就爱广场舞,文娱社交,社交平台;老年文娱,B2B+B2C,平台,
左点,左点,消费品,智能硬件,B2B,服务商(媒体/数据),
巨贸康万家,巨贸康万家,消费品;生活照护,智能硬件;辅具;适老化产品,B2B+B2C,制造商(硬件/设备),
希润医疗,希润医疗,医疗健康;康复辅具;消费品,医疗器械;康复;智能硬件,B2B,制造商(硬件/设备),
平安臻颐年,平安臻颐年,养老住房,养老社区,B2B+B2C,平台,
康乐龄,康乐龄,消费品;生活照护,智能硬件;辅具;适老化产品,B2B+B2C,制造商(硬件/设备),
康力元,康力元,消费品;生活照护,智能硬件;辅具;适老化产品,B2B+B2C,制造商(硬件/设备),
康复之家,康复之家,消费品,辅具,B2B,服务商(媒体/数据),
康德宝,康德宝,消费品;生活照护,智能硬件;辅具;适老化产品,B2B+B2C,制造商(硬件/设备),
康政,康政,消费品;生活照护,智能硬件;辅具;适老化产品,B2B+B2C,制造商(硬件/设备),
康林仁和,康林仁和,食品营养,保健品,B2B,服务商(媒体/数据),
康比特,康比特,食品营养,保健品,B2C,制造商(消费品),
康爱医疗,康爱医疗,医疗健康;康复辅具;消费品,康复;慢病管理;智能硬件,B2C,制造商(消费品),
康语轩,康语轩,养老住房;医疗健康,养老机构;认知症,B2B+B2C,服务商,
彭世,彭世,医疗健康,健康管理,B2B+B2C,服务商,
得印科技,得印科技,消费品;生活照护,智能硬件;辅具;适老化产品,B2B+B2C,制造商(硬件/设备),
德林,德林,消费品;生活照护,智能硬件;辅具;适老化产品,B2B+B2C,制造商(硬件/设备),
心乐空间,心乐空间,文娱社交,社交平台;老年文娱,B2B+B2C,平台,
心永科技,心永科技,医疗健康;消费品,健康管理;智能硬件,B2B+B2C,制造商(硬件/设备),
志贺康养,志贺康养,养老住房;消费品;生活照护,居家护理;智能硬件;适老化产品;适老化改造,B2B+B2C,平台,
快乐购,快乐购,渠道零售,电商,B2B,服务商(媒体/数据),
快团团,快团团,渠道零售,电商,B2B,服务商(媒体/数据),
怡和嘉业,怡和嘉业,消费品;生活照护,智能硬件;辅具;适老化产品,B2B+B2C,制造商(硬件/设备),
恒发,恒发,消费品,鞋服,B2B,服务商(媒体/数据),
恩德莱,恩德莱,消费品;生活照护,智能硬件;辅具;适老化产品,B2B+B2C,制造商(硬件/设备),
悟空百货,悟空百货,渠道零售,电商,B2B,服务商(媒体/数据),
悠幸,悠幸,养老住房;消费品;生活照护,居家护理;智能硬件;适老化产品;适老化改造,B2B+B2C,平台,
悦心安颐,悦心安颐,养老住房,养老社区,B2B+B2C,平台,
惠买集团,惠买集团,渠道零售,电商,B2B,服务商(媒体/数据),
慈康生命,慈康生命,医疗健康,临终关怀,B2B+B2C,服务商,
慢糖家,慢糖家,食品营养,保健品,B2C,制造商(消费品),
成家相亲,成家相亲,文娱社交,社交平台;老年文娱,B2B+B2C,平台,
戴恩,戴恩,生活照护,专业护理;居家护理,B2B+B2C,平台,
护卫神,护卫神,消费品;生活照护,智能硬件;辅具;适老化产品,B2B+B2C,制造商(硬件/设备),
招商观颐,招商观颐,养老住房,养老社区,B2B+B2C,平台,
振邦,振邦,消费品;生活照护,智能硬件;辅具;适老化产品,B2B+B2C,制造商(硬件/设备),
摩登银龄,摩登银龄,文娱社交,老年文娱,B2B,服务商(媒体/数据),
擎浩护理,擎浩护理,生活照护,专业护理;居家护理,B2B+B2C,平台,
救救帮,救救帮,养老住房;消费品;生活照护,居家护理;智能硬件;适老化产品;适老化改造,B2B+B2C,平台,
斯维驰,斯维驰,消费品;生活照护,智能硬件;辅具;适老化产品,B2B+B2C,制造商(硬件/设备),
方家铺子,方家铺子,食品营养,保健品,B2C,制造商(消费品),
时光派,时光派,食品营养,保健品,B2C,制造商(消费品),
时尚奶奶团,时尚奶奶团,文娱社交,老年文娱,B2B,服务商(媒体/数据),
易乐车业,易乐车业,消费品;生活照护,智能硬件;辅具;适老化产品,B2B+B2C,制造商(硬件/设备),
星巡智能,星巡智能,医疗健康,健康管理,B2C,服务商,
春树养老,春树养老,养老住房,养老社区,B2B+B2C,平台,
昱芝夕,昱芝夕,消费品,个护,B2B,服务商(媒体/数据),
昱言养老,昱言养老,养老住房,养老社区,B2B,服务商(媒体/数据),
普健济康,普健济康,金融保险,产业资本,未标注,服务商,
景昱,景昱,康复辅具;消费品,康复;智能硬件,B2B+B2C,制造商(硬件/设备),
晶彩人生,晶彩人生,文娱社交,社交平台;老年文娱,B2B+B2C,平台,
智云健康,智云健康,医疗健康,健康管理;慢病管理,未标注,上市公司,
智听,智听,消费品;生活照护,助听器;智能硬件;辅具;适老化产品,B2B+B2C,制造商(硬件/设备),
智宇孝老,智宇孝老,生活照护,专业护理;居家护理,B2B+B2C,平台,
智杰教育,智杰教育,养老住房,养老社区,B2B+B2C,平台,
最美芳华,最美芳华,文娱社交,老年文娱,B2B,服务商(媒体/数据),
月神,月神,食品营养,保健品,B2C,制造商(消费品),
来邦科技,来邦科技,养老住房;消费品;生活照护,居家护理;智能硬件;适老化产品;适老化改造,B2B+B2C,平台,
柏老汇,柏老汇,生活照护,专业护理;居家护理,B2B+B2C,平台,
染博士,染博士,消费品,个护,B2B,服务商(媒体/数据),
栈道资本,栈道资本,金融保险,产业资本,未标注,服务商,
栖城设计,栖城设计,养老住房;消费品;生活照护,居家护理;智能硬件;适老化产品;适老化改造,B2B+B2C,平台,
森梅医疗,森梅医疗,医疗健康;食品营养,保健品;健康管理,B2C,服务商,
森美,森美,食品营养,保健品,B2C,制造商(消费品),
楼上,楼上,食品营养,保健品,B2C,制造商(消费品),
正奇智能,正奇智能,消费品;生活照护,智能硬件;辅具;适老化产品,B2B+B2C,制造商(硬件/设备),
每日的菌,每日的菌,食品营养,保健品,B2C,制造商(消费品),
水印中国,水印中国,养老住房,养老社区,B2B+B2C,平台,
永福康,永福康,消费品;生活照护,智能硬件;辅具;适老化产品,B2B+B2C,制造商(硬件/设备),
江南米道,江南米道,食品营养,保健品,B2C,制造商(消费品),
沐恒实业,沐恒实业,养老住房;消费品;生活照护,居家护理;智能硬件;适老化产品;适老化改造,B2B+B2C,平台,
泰一健康,泰一健康,食品营养,保健品,B2C,制造商(消费品),
泰康之家,泰康之家,养老住房,养老社区,B2B+B2C,平台,
泰康安宁疗护,泰康安宁疗护,医疗健康;生活照护,专业护理;临终关怀;居家护理,B2B+B2C,平台,
泰心康护,泰心康护,生活照护,专业护理;居家护理,B2B+B2C,平台,
泽普医疗,泽普医疗,康复辅具;消费品,康复;智能硬件,B2B+B2C,制造商(硬件/设备),
海之声,海之声,消费品,助听器,B2B,服务商(媒体/数据),
海森林,海森林,消费品,助听器,B2B,服务商(媒体/数据),
深纳普思,深纳普思,医疗健康;食品营养,保健品;健康管理,B2C,服务商,
添康,添康,消费品;生活照护,智能硬件;辅具;适老化产品,B2B+B2C,制造商(硬件/设备),
温州康宁,温州康宁,康复辅具;消费品,康复;智能硬件,B2B+B2C,制造商(硬件/设备),
爱侬养老,爱侬养老,生活照护,专业护理;居家护理,B2B+B2C,平台,
爱可声,爱可声,消费品;生活照护,助听器;智能硬件;辅具;适老化产品,B2B+B2C,制造商(硬件/设备),
爱普雷德,爱普雷德,消费品,助听器,B2B,服务商(媒体/数据),
爱牵挂,爱牵挂,养老住房;消费品;生活照护,居家护理;智能硬件;适老化产品;适老化改造,B2B+B2C,平台,
爱舒乐,爱舒乐,消费品;生活照护,智能硬件;辅具;适老化产品,B2B+B2C,制造商(硬件/设备),
爱风尚,爱风尚,文娱社交,社交平台;老年文娱,B2B+B2C,平台,
玖益,玖益,消费品;生活照护,助听器;智能硬件;辅具;适老化产品,B2B+B2C,制造商(硬件/设备),
玛士撒拉,玛士撒拉,食品营养,保健品,B2C,制造商(消费品),
环球捕手,环球捕手,渠道零售,电商,B2B,服务商(媒体/数据),
瑞光康泰,瑞光康泰,医疗健康;食品营养,保健品;健康管理,B2C,服务商,
瑞尔齿科,瑞尔齿科,消费品;生活照护,智能硬件;辅具;适老化产品,B2B+B2C,制造商(硬件/设备),
瑞贝卡,瑞贝卡,消费品,个护,B2B,服务商(媒体/数据),
瑞邦,瑞邦,食品营养,保健品,B2C,制造商(消费品),
甲子科技,甲子科技,生活照护,智慧养老,B2B,技术服务商,
百合康,百合康,食品营养,保健品,B2C,制造商(消费品),
百合生物,百合生物,食品营养,保健品,B2C,制造商(消费品),
百善药业,百善药业,食品营养,保健品,B2C,制造商(消费品),
百年红,百年红,消费品;生活照护,智能硬件;辅具;适老化产品,B2B+B2C,制造商(硬件/设备),
皮皮熊,皮皮熊,消费品;生活照护,智能硬件;辅具;适老化产品,B2B+B2C,制造商(硬件/设备),
盈康生命,盈康生命,康复辅具;消费品,康复;智能硬件,B2B+B2C,制造商(硬件/设备),
益生康健,益生康健,食品营养,保健品,B2B,服务商(媒体/数据),
盛美诺,盛美诺,食品营养,保健品,B2C,制造商(消费品),
盛通养老,盛通养老,养老住房;消费品;生活照护,居家护理;智能硬件;适老化产品;适老化改造,B2B+B2C,平台,
知识矩阵,知识矩阵,食品营养,保健品,B2C,制造商(消费品),
硅基仿生,硅基仿生,医疗健康;食品营养,保健品;健康管理,B2C,服务商,
神探伍伍,神探伍伍,食品营养,保健品,B2C,制造商(消费品),
祥和,祥和,消费品;生活照护,智能硬件;辅具;适老化产品,B2B+B2C,制造商(硬件/设备),
票圈视频,票圈视频,文娱社交,老年文娱,B2B,服务商(媒体/数据),
福东海,福东海,食品营养,保健品,B2C,制造商(消费品),
福仕得,福仕得,消费品;生活照护,智能硬件;辅具;适老化产品,B2B+B2C,制造商(硬件/设备),
福佑,福佑,消费品;生活照护,智能硬件;辅具;适老化产品,B2B+B2C,制造商(硬件/设备),
福寿家,福寿家,生活照护,专业护理;居家护理,B2B+B2C,平台,
福康通,福康通,养老住房;消费品;生活照护,居家护理;智能硬件;适老化产品;适老化改造,B2B+B2C,平台,
福玛玛,福玛玛,消费品,鞋服,B2B,服务商(媒体/数据),
立奇电子,立奇电子,生活照护,专业护理;居家护理,B2B+B2C,平台,
章华,章华,消费品,个护,B2B,服务商(媒体/数据),
米兰登,米兰登,消费品,鞋服,B2B,服务商(媒体/数据),
粤嘉康,粤嘉康,食品营养,保健品,B2B,服务商(媒体/数据),
糖友饱饱,糖友饱饱,食品营养,保健品,B2C,制造商(消费品),
糖豆,糖豆,文娱社交,社交平台;老年文娱,B2B+B2C,平台,
纽崔莱,纽崔莱,食品营养,保健品,B2C,制造商(消费品),
维达,维达,消费品;生活照护,智能硬件;辅具;适老化产品,B2B+B2C,制造商(硬件/设备),
绿城康养,绿城康养,养老住房,养老社区,B2B+B2C,平台,
绿康,绿康,养老住房,养老社区,B2B+B2C,平台,
绿瘦,绿瘦,食品营养,保健品,B2C,制造商(消费品),
美丽岛,美丽岛,消费品;生活照护,智能硬件;辅具;适老化产品,B2B+B2C,制造商(硬件/设备),
美呀植牙,美呀植牙,消费品;生活照护,智能硬件;辅具;适老化产品,B2B+B2C,制造商(硬件/设备),
美瑞德,美瑞德,消费品;生活照护,智能硬件;辅具;适老化产品,B2B+B2C,制造商(硬件/设备),
美邸中国,美邸中国,养老住房;医疗健康,养老机构;认知症,B2B+B2C,服务商,
老人头,老人头,消费品,鞋服,B2B,服务商(媒体/数据),
老友记,老友记,生活照护,专业护理;居家护理,B2B+B2C,平台,
老年人才网,老年人才网,文娱社交,社交平台;老年文娱,B2B+B2C,平台,
老来寿,老来寿,食品营养,保健品,B2C,制造商(消费品),
老柚,老柚,文娱社交,社交平台;老年文娱,B2B+B2C,平台,
老美华,老美华,消费品,鞋服,B2B,服务商(媒体/数据),
联谛信息,联谛信息,消费品;生活照护,智能硬件;辅具;适老化产品,B2B+B2C,制造商(硬件/设备),
聚鲨环球,聚鲨环球,渠道零售,电商,B2B,服务商(媒体/数据),
肌肉科技,肌肉科技,食品营养,保健品,B2C,制造商(消费品),
脑动极光,脑动极光,养老住房;医疗健康,养老机构;认知症,B2B,技术服务商,
自然之声,自然之声,消费品,助听器,B2B,服务商(媒体/数据),
臻牧,臻牧,食品营养,保健品,B2C,制造商(消费品),
臻行科技,臻行科技,消费品;生活照护,智能硬件;辅具;适老化产品,B2B+B2C,制造商(硬件/设备),
舒悦,舒悦,消费品,鞋服,B2B,服务商(媒体/数据),
舒莱适,舒莱适,消费品;生活照护,智能硬件;辅具;适老化产品,B2B+B2C,制造商(硬件/设备),
舞动时代,舞动时代,文娱社交,社交平台;老年文娱,B2B+B2C,平台,
艾兰得,艾兰得,食品营养,保健品,B2C,制造商(消费品),
艾益生,艾益生,医疗健康;食品营养,保健品;健康管理,B2C,服务商,
艾艾贴,艾艾贴,医疗健康;食品营养,保健品;健康管理,B2C,服务商,
芬香电商,芬香电商,渠道零售,电商,B2C,平台,线上
苏立康,苏立康,食品营养,保健品,B2C,制造商(消费品),
若创科技,若创科技,消费品;生活照护,智能硬件;辅具;适老化产品,B2B+B2C,制造商(硬件/设备),
英智,英智,康复辅具;消费品,康复;智能硬件,B2B+B2C,制造商(硬件/设备),
英洛华,英洛华,消费品;生活照护,智能硬件;辅具;适老化产品,B2B+B2C,制造商(硬件/设备),
莎浓羊奶,莎浓羊奶,食品营养,保健品,B2C,制造商(消费品),
