serial,name,tag_l1,tag_l2,desc_len,description,desc_cn_len,rv,sig,total,reco_len,is_info_insufficient
#0784,Mighty Health,文娱社交,健身,21,面向50+人群，多合一运动、营养和健康计划,21,41.6,0.55,6.2,143,0
#0789,Modivcare,养老服务,适老化,21,非紧急医疗运输、个人护理服务和远程患者监控,147,47.7,4.55,9.4,72,0
#0797,NeuroClues,养老服务,认知筛查,21,眼动追踪设备检测神经退行性疾病，帕金森筛查,182,45.6,0.55,6.8,91,0
#0800,NexStride,康复辅具,助行器,21,小型设备连接助行器，灯光和声音信号帮助行走,21,42.7,0.55,6.4,79,0
#0801,Nice healthcare,养老服务,居家医疗,21,虚拟/上门初级保健、物理治疗和慢性护理管理,159,44.6,2.55,7.8,102,0
#0810,One Medical,养老服务,诊所,21,会员制初级保健机构，2023年被亚马逊收购,139,70.6,6.55,13.7,97,0
#0814,Osher Lifelong Learning Institutes (OLLI),文娱社交,教育,21,非营利性老年终身学习，50岁以上非学分课程,21,38.7,0.55,5.9,95,0
#0845,SeniorHousingLiving,行业服务,养老信息平台,21,老年住房、健康、技术等内容，给护理交易引流,21,42.1,0.55,6.6,93,0
#0848,Senpai,文娱社交,文娱/陪伴服务,21,具有语音功能的数字伴侣，社交陪伴、提醒服药,21,38.7,0.55,5.9,85,0
#0855,Signify Health,养老服务,居家医疗,21,家庭健康评估，强调预防，会员平均年龄71岁,149,81.5,10,17.4,88,0
#0898,Videra Health,养老服务,心理健康,21,AI检测面部表情和肢体语言变化筛查心理健康,84,49.6,0.55,7.5,86,0
#0908,Voxela,康复辅具,跌倒监测,21,AI图像分析检测跌倒和走动，护理机构和医院,87,49.6,0.55,7.5,126,0
#0925,ŌURA,康复辅具,可穿戴监测,21,Oura智能戒指，收集20+种生物特征数据,149,53.7,1.55,8.4,83,0
#0934,Khyaal,文娱社交,社区,21,印度老年人超级应用，覆盖300万+老年用户,13,41.6,0.55,6.2,116,0
#1358,云中漫步（上海）机器人科技有限公司,行业服务,养老信息平台,21,社区养老 滴滴模式。涉及养老信息平台领域。,93,45.6,0.55,7.0,71,0
#1375,开开华彩,文娱社交,教育,21,开开华彩：公司年收入上亿+。涉及教育领域。,5,41.6,0.55,6.2,70,0
#1401,济南牧源羊乳,食品营养,营养食品,21,牧场直供新鲜 羊奶酸奶。涉及营养食品领域。,7,41.6,0.55,6.2,71,0
#1440,美纪（上海）生物科技有限公司,消费品,美妆护肤,21,国货化妆品，在细分类目 卸妆销量全国前列。,114,45.6,0.55,6.8,91,0
#1444,中国人寿,金融保险,保险,21,央企，很多其他的，详细后期根据需求再润色。,5,41.6,0.55,6.4,86,0
#1463,重庆熙朴供应链管理有限公司,养老服务,居家康复,21,重庆做居家康养偏瘫这块。涉及居家康复领域。,7,39.6,0.55,5.9,84,0
#1472,广州绿葆网络发展有限公司,养老服务,陪诊,21,为中老年人群等提供陪诊服务。涉及陪诊领域。,7,39.6,0.55,5.9,98,0
#1474,上海启平健康科技有限公司,金融保险,保险科技,21,平台型企业服务保险公司。涉及保险科技领域。,5,41.6,0.55,6.4,71,0
#1492,扁仓中医药,养老服务,中医养生/康养地产,21,老年康养基地。涉及中医养生、康养地产领域。,7,39.6,0.55,5.9,79,0
#1508,艾年,行业服务,行业媒体,21,艾年：银发经济商业媒体。涉及行业媒体领域。,7,41.6,0.55,6.2,124,0
#1519,珠海市斗门区井岸镇善雅社会组织统筹发展中心,文娱社交/养老服务,社区/居家护理,21,社区居家养老服务。涉及社区、居家护理领域。,7,39.6,0.55,5.9,157,0
#1526,福建百龄康养产业发展集团有限公司,养老服务,养老机构,21,目前运营11家养老机构。涉及养老机构领域。,7,35.6,0.55,5.3,81,0
#1529,光大百龄帮,养老服务/行业服务,养老机构/养老信息平台,21,养老机构。涉及养老机构、养老信息平台领域。,7,35.6,0.55,5.3,86,0
#1530,贵州新基石建筑设计有限责任公司,养老服务,康养地产/适老化,21,康养设计、消防改造施工、投融资及运营推荐。,5,37.6,0.55,5.7,91,0
#0423,彭世修脚,消费品,个人护理,22,修脚、足疗、采耳、推拿中老年线下社区养生服务,11,40.7,0.55,6.1,143,0
#0429,享睡Sleepace,康复辅具,睡眠监测,22,家用无感睡眠监测垫，居家、养老机构双场景硬件,91,43.7,0.55,6.5,118,0
#0430,大耳马医学,康复辅具,睡眠监测/康复器械,22,鼾症、睡眠呼吸暂停居家监测，适配老年慢病人群,11,37.7,0.55,5.8,135,0
#0599,6Degrees,康复辅具,可穿戴监测,22,可穿戴AI将动作转换为数字命令，控制智能设备,85,46.6,0.55,7.1,90,0
#0605,Actif,养老服务,认知训练,22,创建于2021年，针对老年人的体育和认知锻炼,22,38.7,0.55,5.9,154,0
#0608,Adonis,行业服务,养老信息平台,22,AI收入周期技术，10000+医疗服务供应商,123,43.6,2.55,7.6,88,0
#0692,eargym,康复辅具,助听器,22,个性化听力健康伴侣APP，沉浸式游戏提高听力,88,49.6,0.55,7.5,123,0
#0694,Elidah,消费品,尿失禁,22,Elitone治疗压力性尿失禁的非侵入性方法,138,43.1,1.05,6.8,120,0
#0781,Menolabs,消费品,更年期,22,更年期保健产品，被Dr. Reddy's收购,133,29.1,1.05,4.7,116,0
#0860,SomaReality,养老服务,认知筛查/认知训练,22,基于眼动追踪的数字生物标记，实时监测认知过程,22,38.7,0.55,5.9,86,0
#0895,Vayyar,消费品,智能家居,22,4D成像雷达，非侵入式全面环境监测，隐私保护,141,57.1,3.05,9.7,177,0
#0918,Xander Glasses,消费品,眼镜,22,将语音翻译成文本并实时显示字幕，AR增强对话,22,41.6,0.55,6.2,82,0
#1010,Nourish Care,行业服务,养老软件,22,英国照护管理软件，灵活记录协调与报告社交照护,87,43.7,0.55,6.4,90,0
#1022,Mon Ami,行业服务,养老软件,22,为老残服务机构重造数据库，自动报告与活动协调,84,43.7,0.55,6.4,90,0
#1024,Caring.com,行业服务,养老信息平台,22,全美养老社区与居家照护免费目录与家庭顾问指导,87,43.7,0.55,6.4,79,0
#1029,Gubbe,养老服务,远程护理,22,芬兰连接老人与看护者App，含传感器跌倒监测,88,43.7,0.55,6.4,108,0
#1035,Good Life Sorted,消费品/康复辅具,智能家居/用药提醒,22,老人App与智能家技术提醒用药、连社交减孤立,97,46.6,0.55,7.1,91,0
#1047,Axena Health,消费品,尿失禁,22,医生处方、非侵入式女性盆底健康系统，带入家庭,22,38.7,0.55,5.9,81,0
#1073,中科源码,文娱社交,陪伴机器人/陪伴服务,22,长者陪伴机器人“小丽”，在成都太保家园等应用,22,42.1,0.55,6.6,83,0
#1081,新奈医疗,康复辅具,睡眠监测,22,聚焦老年睡眠呼吸治疗，AI呼吸机产品打开市场,22,34.2,0.55,5.3,80,0
#1087,矩侨工业,康复辅具,可穿戴监测,22,柔性传感技术成功适配康复机器人与老年穿戴设备,22,41.6,0.55,6.2,99,0
#1093,可氏利夫,消费品,个人护理/美妆护肤,22,50+专属白转黑头皮精华，半年数百万元销售额,81,38.2,0.55,5.9,87,0
#1338,MapHabit,养老服务,认知训练,22,视觉映射辅助，支持 AD/痴呆日常认知训练。,147,40.7,1.55,6.8,91,0
#1341,MonSenior,行业服务,养老信息平台,22,老年人生活辅助与良好老龄化服务平台（法国）。,97,49.6,0.55,7.5,89,0
#1467,中爱量星健康产业联盟,行业服务,养老信息平台,22,银发产业联盟服务平台。涉及养老信息平台领域。,81,49.6,0.55,7.5,72,0
#1478,北京品心心理,养老服务,心理健康,22,银发族心理疗愈服务供应商。涉及心理健康领域。,7,39.6,0.55,5.9,85,0
#1496,宁波彩虹糖教育,养老服务,认知训练,22,基于脑科学的认知能力提升。涉及认知训练领域。,7,39.6,0.55,5.9,111,0
#1515,联通视频,行业服务,行业媒体,22,覆盖全国家庭电视，准备在大屏上赋能老年经济。,7,41.6,0.55,6.2,71,0
#0416,甲子科技(甲子养老),养老服务/康复辅具,居家护理/助行器,23,线下门店销售代步车、适老辅具，上门测量改造服务,12,35.7,0.55,5.5,127,0
#0424,唯艾科技,消费品,个人护理,23,家用、门店智能艾灸理疗，中老年养生体验转化产品,11,34.7,0.55,5.5,98,0
#0637,Biomotum,康复辅具,助行器,23,智能辅助设备优化人类移动性，双脚电动自行车技术,23,42.7,0.55,6.4,133,0
#0656,Carefull,金融保险,金融理财,23,AI帮助银行和理财顾问保护老年客户免受金融诈骗,153,50.7,2.55,8.8,165,0
#0787,MindMics,消费品,心血管,23,日常耳机改造成健康监测器，次声波技术心血管监测,23,38.7,0.55,5.9,88,0
#0842,Senior Planet,文娱社交,教育,23,60岁以上课程，社会参与、财务安全、健康保健等,23,38.7,0.55,5.9,98,0
#0864,Spark Advisors,金融保险,保险科技,23,帮助医疗保险经纪人进行营销、销售支持、后台管理,131,40.6,2.55,7.3,98,0
#0890,TympaHealth,康复辅具,医疗器械,23,耳部和听力健康评估系统，数字耳镜检查+听力评估,142,44.6,2.55,7.8,136,0
#0922,Zing Health,养老服务,SDOH,23,解决健康社会决定因素，减少服务不足人群医疗差距,84,49.1,0.55,7.1,157,0
#0938,镰仓新书,养老服务,殡葬,23,日本京东上市的殡葬服务公司，购墓、殡仪、佛坛等,143,66.7,6.55,13.3,87,0
#0990,JOY FOR ALL,文娱社交,陪伴机器人/陪伴服务,23,交互式陪伴猫/狗，为长者带来舒适、陪伴与乐趣。,23,45.6,0.55,7.0,83,0
#0999,Lindera,康复辅具,跌倒监测,23,开发AI步行分析App优化日常照护并专注防跌倒,81,49.6,0.55,7.5,87,0
#1019,CARU,康复辅具,紧急呼叫,23,瑞士紧急呼叫系统，支持按钮/语音与自动跌倒检测,85,49.6,0.55,7.5,108,0
#1021,AutumnCare,康复辅具,用药管理,23,澳洲临床管理云软件，含电子药管与现场点采集数据,23,40.6,0.55,6.0,70,0
#1023,Care Daily,消费品,智能硬件,23,AI管家学行为基线，预测隐秘健康问题与节能安防,85,49.6,0.55,7.5,93,0
#1030,CareConnectMD,养老服务,护理协调,23,25年经验将价值型照护带入急性后设置的复杂病患,91,43.7,0.55,6.4,107,0
#1031,HaloCare,养老服务,远程护理,23,爱尔兰辅助生活技术，用智能设备虚拟监护老人居家,86,46.6,0.55,7.1,85,0
#1034,Sensara,康复辅具,跌倒监测,23,自学习传感技术，仅发相关警报让老人自由活动防跌,84,49.6,0.55,7.5,70,0
#1036,Cubigo,行业服务,养老软件,23,养老生活云集成非临床运营（餐饮、维修等）提效率,86,43.7,0.55,6.4,79,0
#1049,Cadense,消费品,服装鞋帽,23,结合机器人与生物力学的自适应鞋，帮助行走困难者,102,38.7,0.55,5.9,90,0
#1075,腾讯 Robotics X,康复辅具,机器人,23,居家服务机器人“小五”，面向人机协作的养老服务,194,45.6,0.55,7.0,113,0
#1339,SingFit,文娱社交,文娱,23,治疗性音乐/歌唱数字疗法，非药物改善痴呆认知。,23,41.6,0.55,6.2,77,0
#1340,Optina Diagnostics,行业服务,AI医疗,23,视网膜高光谱成像检测脑淀粉样蛋白，AD 早筛。,23,41.6,0.55,6.2,84,0
#1361,辽阳市白塔区百善居家和社区养老服务中心,食品营养,养老膳食,23,社区共享食堂，社区共享儿女！涉及养老膳食领域。,7,35.6,0.55,5.3,112,0
#1363,安徽哈工智能科技有限公司,康复辅具,护理床,23,护理机器人三部委联合推荐产品。涉及护理床领域。,6,39.6,0.55,5.9,138,0
#1370,重庆经纬,康复辅具,康复器械,23,主要经营银行、康养设备销售、维护、租赁、运营。,7,35.6,0.55,5.3,129,0
#1378,太平洋人寿,金融保险,保险,23,市场老四家保险公司之一，具有百人专业服务团队。,5,41.6,0.55,6.4,81,0
#1390,谷川联行,行业服务,养老咨询,23,协助企业跟政府获取政策支持。涉及养老咨询领域。,7,39.6,0.55,5.9,86,0
#1412,临汾市南孝社区养老服务中心,养老服务,养老机构,23,投资2000余万在本地有三家社区养老服务中心。,7,39.6,0.55,5.9,82,0
#1426,新疆疆宝莱健康产业发展有限公司,食品营养,保健品,23,全新疆第一家肉苁蓉浓缩液厂家。涉及保健品领域。,6,41.6,0.55,6.2,104,0
#1452,众安保险,金融保险,保险,23,众安保险是互联网保险公司，健康险为核心产品线。,11,41.6,0.55,6.4,131,0
#1470,瑞众人寿保险有限公司,金融保险,保险,23,瑞众人寿保险有限公司：保险销售。涉及保险领域。,12,41.6,0.55,6.4,87,0
#1493,荷小悦智能科技有限公司,行业服务,养老信息平台,23,AI康养/居家养老平台。涉及养老信息平台领域。,23,39.6,0.55,5.9,95,0
#1509,浙江爱柯智能科技有限公司,消费品,服装鞋帽,23,中老年友好型纺织用品服务商。涉及服装鞋帽领域。,7,35.6,0.55,5.3,92,0
#0148,天空树,消费品,个人护理/美妆护肤,24,个人护理品牌，主打头皮头发或肌肤护理类适老产品。,96,40.7,0.55,6.2,86,0
#0444,曼景科技,康复辅具,康复器械,24,神经调控康复设备，聚焦老年认知障碍、精神疾病康复,24,37.7,0.55,5.8,94,0
#0445,品驰医疗,康复辅具,康复器械,24,脑起搏器龙头，帕金森等老年神经疾病植入式治疗设备,24,39.6,0.55,6.0,152,0
#0591,Google,文娱社交,就业,24,科技公司，设有职场回归项目吸纳职业中断的资深人才,24,38.7,0.55,5.9,83,0
#0701,findhelp,养老服务,SDOH,24,"美国领先的社会护理网络，536,269个计划地点",24,36.6,0.55,5.5,96,0
#0748,JOGO Health,消费品/康复辅具,尿失禁/医疗器械,24,利用大脑神经可塑性治疗慢性疼痛和失禁，FDA批准,91,45.6,0.55,6.8,85,0
#0764,Lilli,养老服务,远程护理,24,AI远程监控设备，支持家庭护理，9:1投资回报率,95,49.6,0.55,7.5,85,0
#0786,MindAhead,养老服务,心理健康,24,基于行为激活的治疗应用程序，轻度认知障碍和痴呆症,24,38.7,0.55,5.9,71,0
#0791,Monogram Health,养老服务,专业护理/居家护理,24,多种慢性疾病居家护理，2023年收入近22亿美元,141,63.2,5.05,11.9,113,0
#0884,Toi Labs,康复辅具,可穿戴监测,24,TrueLoo智能马桶座，光学传感器分析马桶活动,24,38.7,0.55,5.9,80,0
#0988,MyHelloLine,文娱社交,陪伴服务,24,孤独干预服务，增加社会连接，在隔离期成为生命线。,24,41.6,0.55,6.2,98,0
#0998,Emoha,养老服务,居家护理,24,印度居家与旅行老人照护服务，含紧急响应与预防监测,24,42.1,0.55,6.6,81,0
#1002,NurseBuddy,行业服务,养老软件,24,居家照护软件，用AI排班与护理计划节省80%时间,83,43.7,0.55,6.4,84,0
#1017,Smartcare,行业服务,养老软件,24,养老照护软件与EMR，自动化排班匹配护工提升留存,84,43.7,0.55,6.4,129,0
#1068,达闼机器人,康复辅具,人形机器人,24,与厦门松霖合作研发配备灵巧手的洗护康养人形机器人,24,38.1,0.55,6.0,84,0
#1099,斯凯奇,消费品,服装鞋帽,24,官宣梁朝伟亚太代言，目光延伸到各年龄段的舒适鞋服,24,38.2,0.55,5.9,106,0
#1100,因你 inne,食品营养,维生素矿物质,24,联合刘晓庆发布“黄金年代”主题短片，触达银发群体,24,38.2,0.55,5.9,125,0
#1334,BedHub,消费品,智能家居,24,养老照护机构搜索匹配平台，帮助家庭寻找优质机构。,143,50.4,2.8,8.8,82,0
#1376,兰州机场佰翔酒店,养老服务,康养地产,24,兰州新区规模最大的准五星级酒店，今年底即将开业。,5,41.6,0.55,6.2,86,0
#1399,上海云虚互伴科技有限公司,文娱社交,陪伴服务,24,ai数字人陪聊，服务上万用户。涉及陪伴服务领域。,7,39.6,0.55,5.9,116,0
#1418,武汉道里,文娱社交,社区,24,武汉道里：私域累计服务百万老年人。涉及社区领域。,19,41.6,0.55,6.2,83,0
#1445,山西航天投资,投资机构,产业基金,24,山西航天投资：企业投融资咨询。涉及产业基金领域。,7,39.6,0.55,5.9,125,0
#1447,云南美通汽车服务有限公司,文娱社交,旅游,24,本公司从事汽车后市场相关业务，现想进入养老行业。,5,41.6,0.55,6.2,96,0
#1456,无锡年欢科技有限公司,康复辅具,助听器/助行器,24,专业研发生产防摔马甲、助行机器人、助听器的企业。,6,39.6,0.55,5.9,81,0
#1480,湖州市两山生态资源运营有限公司,文娱社交,旅游,24,服务湖州地区银发经济相关产业发展。涉及旅游领域。,5,41.6,0.55,6.2,88,0
#1488,三卿健康科技,养老服务/文娱社交,家政/陪伴机器人,24,三个管家居家上门服务。涉及家政、陪伴机器人领域。,124,45.6,0.55,7.0,119,0
#1495,浙江臻众医疗科技有限公司,养老服务,康复医疗,24,公立医院，民营医院，康养机构。涉及康复医疗领域。,5,39.6,0.55,5.9,207,0
#0422,退休俱乐部(东犁),文娱社交,旅游,25,电视节目引流中老年周边、长线康养旅游，线下聚会服务,12,40.7,0.55,6.2,71,0
#0446,英智康复,养老服务,康复医疗,25,神经康复医疗连锁，脑卒中、老年认知障碍线下康复中心,25,31.6,0.55,4.8,101,0
#0447,爱康医疗,康复辅具,康复器械,25,骨科植入物+肿瘤康复设备厂商，医用康复器械配套医院,103,61.6,6.55,12.3,91,0
#0567,Humana,金融保险,保险,25,美国头部Medicare Advantage运营商,25,38.7,0.55,6.1,87,0
#0568,Aetna,金融保险,保险,25,美国头部Medicare Advantage运营商,25,38.7,0.55,6.1,77,0
#0569,UnitedHealth,养老服务,居家医疗,25,美国头部Medicare Advantage运营商,25,38.7,0.55,6.1,163,0
#0570,Cigna,金融保险,保险,25,美国头部Medicare Advantage运营商,25,38.7,0.55,6.1,169,0
#0614,Aktiia,康复辅具,可穿戴监测,25,"光学连续血压监测手环，44个国家60,000+用户",126,41.6,0.55,6.2,117,0
#0733,Heyday Health,养老服务/金融保险,远程医疗/保险,25,虚拟价值型医疗服务，Medicare和双重合格患者,25,41.6,0.55,6.4,93,0
#0739,Hyfe AI,养老服务,慢病管理,25,AI咳嗽检测和分类，7亿+样本，55岁以上占74%,87,49.6,0.55,7.5,129,0
#0839,Savaria Corporation,养老服务,适老化,25,无障碍设备设计制造，2023年收入约8.37亿美元,12,42.7,0.55,6.4,78,0
#0871,Stripes Beauty,消费品,更年期/美妆护肤,25,Naomi Watts创立，针对更年期需求，被收购,25,41.6,0.55,6.2,123,0
#1004,GrandCare Systems,消费品/养老服务,智能硬件/远程医疗,25,远程支持与辅助技术，通过触摸屏与传感器提升独立生活,86,49.6,0.55,7.5,163,0
#1007,Senniors,养老服务,居家康复,25,西班牙超100城上门照护，含理疗心理等综合居家疗法,84,49.6,0.55,7.5,93,0
#1052,Elemind,康复辅具,睡眠监测/可穿戴监测,25,可穿戴神经技术，EEG驱动无药物声脉冲引导快速入睡,91,38.7,0.55,5.9,115,0
#1058,Ultrahuman,康复辅具/食品营养,睡眠监测/糖尿病/可穿戴监测,25,追踪睡眠、运动、血糖等生物标志物的产品套件优化健康,99,38.7,0.55,5.9,127,0
#1331,Lys Therapeutics,食品营养,保健品,25,抗衰老脑疗法（神经科学），推进神经退行性疾病管线。,144,46.4,2.8,8.4,154,0
#1382,无锡市第二人民医院,养老服务,诊所,25,无锡市第二人民医院：综合医院老年科。涉及诊所领域。,5,39.6,0.55,5.9,79,0
#1389,长沙湘粤医药科技有限公司,消费品,长寿抗衰,25,与中南大学湘雅医院合作全病程管理，病种涉及多学科。,106,45.6,0.55,6.8,75,0
#1392,三河市西金商贸有限公司,消费品,零售,25,三河市西金商贸有限公司：中老年用品。涉及零售领域。,108,45.6,0.55,6.8,95,0
#1396,江西哦咔科技有限公司,养老服务,养老机构,25,江西哦咔科技有限公司：养区养老。涉及养老机构领域。,14,35.6,0.55,5.3,72,0
#1397,广能(广州)规划设计公司,行业服务,养老咨询,25,医疗运营多年，娴熟医养结合幵发。涉及养老咨询领域。,7,35.6,0.55,5.3,81,0
#1450,旅睡智家（厦门）睡眠科技有限公司,康复辅具/消费品,睡眠监测/智能家居,25,数字睡眠场景服务系统。涉及睡眠监测、智能家居领域。,7,39.6,0.55,5.9,72,0
#1451,云南省键康管理促进会,文娱社交,社区,25,云南省键康管理促进会：社区科技康养。涉及社区领域。,14,37.6,0.55,5.7,80,0
#1468,嘉兴市禾动医疗科技有限公司,康复辅具/养老服务,护理床/适老化,25,主要生产护理移位机、辅助起身椅、起背器、护理床等。,6,39.6,0.55,5.9,82,0
#1477,中科启新生命细胞科技(深圳)有限公司,消费品,长寿抗衰/体检筛查,25,医学检测，家族全科医学服务，细胞医学，抗衰老医学。,7,39.6,0.55,5.9,119,0
#1484,云南薄草健康产业有限公司,行业服务/养老服务,养老信息平台/适老化,25,医疗、会议、适老化。涉及养老信息平台、适老化领域。,110,45.6,0.55,6.8,113,0
#1507,湖北优唐健康管理有限公司,养老服务/食品营养,慢病管理/糖尿病,25,国内糖尿病、心脑血管疾病等慢性病健康管理领先品牌。,7,39.6,0.55,5.9,126,0
#1536,杭州爱护健康科技有限公司,康复辅具/消费品,康复器械/智能硬件,25,北京残联，民政局采购。涉及康复器械、智能硬件领域。,7,39.6,0.55,5.9,163,0
#0450,银行＆保险公司,金融保险,金融理财,26,银行养老理财、保险年金、增额终身寿等银发主流理财渠道,26,20.6,0.55,3.2,81,0
#0595,IAC,行业服务,养老信息平台,26,互联网集团，2019年以5亿美元收购Care.com,141,60.6,7.55,12.8,94,0
#0610,After.com,养老服务,殡葬,26,以互联网为核心，帮助家庭预先计划或安排火葬和葬礼服务,90,49.1,0.55,7.1,91,0
#0627,Assured Allies,金融保险,保险科技,26,数据驱动的健康干预帮助老年人更健康生活，降低理赔风险,26,38.7,0.55,5.9,92,0
#0763,LifeLoop,养老服务,护理协调,26,面向养老社区的综合管理和活动组织工具，4700+社区,83,49.6,0.55,7.5,87,0
#0782,Metyos,养老服务,慢病管理,26,慢性肾病监测设备，类似FreeStyle Libre,223,45.6,0.55,6.8,213,0
#0982,Ping,行业服务,养老咨询,26,对齐公司愿景与利益相关者，涉及战略、销售与产品开发。,94,45.6,0.55,6.8,163,0
#0989,SuperAging News,行业服务,资讯门户,26,营销服务组织，结合数字出版与电商，触达长寿市场受众。,80,49.6,0.55,7.5,97,0
#1000,Labrador,文娱社交,陪伴机器人,26,辅助机器人公司，移动机器人帮老人送餐取物提升独立生活,83,45.6,0.55,7.0,117,0
#1006,Cooey Health,养老服务,远程护理,26,个性化远程患者照护，整合生理与行为健康并延伸计费管理,85,49.6,0.55,7.5,125,0
#1041,Intuition Robotics,文娱社交,陪伴机器人/陪伴服务,26,AI社交陪伴机器人ElliQ，缓解老人孤独、健康教练,26,42.7,0.55,6.6,73,0
#1055,Jona,食品营养,个性化营养,26,用AI将微生物组数据转为个性化健康洞察与“数字孪生”,84,46.6,0.55,7.1,79,0
#1060,优龙机器人,康复辅具,外骨骼/助行器,26,柔性外骨骼助行产品，通过二类医疗器械认证，医养双落地,26,39.6,0.55,5.9,93,0
#1090,百联繁花里,消费品,零售,26,上海首个银发主题商业综合体，向社区延伸做专属生活枢纽,83,38.2,0.55,5.9,109,0
#1091,澳维诺,食品营养,保健品,26,澳洲关节肌肉品牌，CAHMB成分国内年增速近100%,89,38.2,0.55,5.9,79,0
#1092,好健康 goodhealth,食品营养,保健品,26,新西兰品牌，主打骨胶原蛋白，销售额同比增103.6%,88,38.2,0.55,5.9,125,0
#1372,数百年科技有限公司,消费品,服装鞋帽,26,数百年科技有限公司：防护穿着产品。涉及服装鞋帽领域。,81,45.6,0.55,6.8,163,0
#1379,浙江澎城智能,行业服务,AI医疗/养老软件,26,覆盖多地食堂，ai智能体已落地邵逸夫医院和多家企业。,7,39.6,0.55,5.9,85,0
#1417,无锡市德盛社会工作服务中心,文娱社交,社区,26,无锡市德盛社会工作服务中心：社区养老。涉及社区领域。,12,35.6,0.55,5.3,78,0
#1420,皓聚空间科技有限公司,文娱社交,陪伴服务,26,皓聚空间科技有限公司：老年人服务。涉及陪伴服务领域。,15,41.6,0.55,6.2,97,0
#1434,湖南益美药房有限公司,消费品,药品,26,湖南益美药房有限公司：社群私域大健康。涉及药品领域。,7,39.6,0.55,5.9,103,0
#1483,广东同盏堂食品有限公司,食品营养,保健品,26,广东同盏堂食品有限公司：大健康产品。涉及保健品领域。,6,41.6,0.55,6.2,66,0
#1490,杭州达呈企业管理有限公司,康复辅具,睡眠监测/可穿戴监测,26,AI睡眠管理智能戒指。涉及睡眠监测、可穿戴监测领域。,7,39.6,0.55,5.9,86,0
#1514,吉林省心连心助老志愿者协会,文娱社交,社区,26,吉林省心连心助老志愿者协会：公益服务。涉及社区领域。,92,49.6,0.55,7.5,88,0
#1525,福晴资本,金融保险,金融理财,26,医院、康养投资并购领域的FA财务顾问、投资中介业务。,7,39.6,0.55,5.9,163,0
#0081,享睡,康复辅具,睡眠监测,27,享睡是睡眠健康品牌，专注老年人睡眠监测和睡眠改善产品。,134,48.7,0.55,7.2,94,0
#0087,令羽,消费品,服装鞋帽,27,令羽是中老年服饰品牌，专注适合老年人的舒适功能性服装。,119,42.7,0.55,6.5,88,0
#0212,摩登银龄,文娱社交,文娱,27,银发内容与时尚IP，聚焦中老年群体生活方式与文娱内容。,115,31.7,0.55,5.1,121,0
