name,name_cn,tag_l1,tag_l2,business_tags_customer,business_tags_role,business_tags_channel,国家地区,简介,原分类category_l1,原分类category_l2
橙医健康,橙医健康,医疗健康,健康管理;慢病管理,B2C,服务商,,国内,老年健康管理和陪诊服务平台，提供就医陪同、健康体检、慢病管理等服务。,健康服务,健康养生
清澜技术,清澜技术,医疗健康,健康监测;健康管理,B2B,技术服务商,,国内,智慧养老技术企业，专注于物联网和AI技术在养老场景的应用。,健康服务,健康养生
清雷,清雷,医疗健康,健康监测;健康管理,B2C,制造商(硬件/设备),,国内,毫米波雷达健康监测企业，通过非接触式传感器实现跌倒检测、睡眠监测、生命体征监测等智慧养老功能。,健康服务,健康养生
点可,点可,医疗健康,健康监测;健康管理,B2B,平台,,国内,智慧养老SaaS平台提供商，为养老机构提供运营管理和信息化解决方案。,健康服务,健康养生
特霍芬,特霍芬,养老服务;医疗健康,养老机构;认知症;适老化,B2B,技术服务商,,国内,适老化技术和智慧养老解决方案提供商，聚焦老年人居住环境智能化改造。,失智老人赛道,照护机构
百芝龙,百芝龙,养老服务;医疗健康,健康监测;健康管理;居家护理,B2B+B2C,平台,,国内,智能家居和智慧养老企业，提供基于AIoT的居家养老安全监测解决方案。,健康服务,健康养生
福寿康,福寿康,养老服务,专业护理;居家护理,B2B+B2C,服务商,,国内,国内头部居家养老护理服务连锁品牌，成立于上海，业务覆盖全国数十个城市，提供居家护理、长护险服务、康复训练等。已完成多轮融资，投资方包括红杉中国等。,养老服务,专业级护理
程天,程天,医疗健康;康复辅具;消费品,外骨骼;康复医疗;智能硬件,B2B+B2C,服务商,,国内,外骨骼机器人研发企业，专注于康复和助行外骨骼，为老年人和行动不便人群提供智能助行方案。,康复设备,运动康复
红松学堂,红松学堂,文娱社交,文娱;社交平台,B2C,平台,,国内,中老年在线兴趣学习平台，提供太极、声乐、书法、舞蹈等直播课程，累计服务数百万中老年用户。,老年文娱,社交平台
织生科技,织生科技,养老服务;医疗健康,养老机构;认知症,未标注,服务商,,国内,脑科学与数字疗法企业，专注于认知功能评估和训练，为认知障碍提供数字化干预方案。,失智老人赛道,照护机构
美好盛年,美好盛年,文娱社交,文娱;旅游;社交平台,B2C,服务商,线下,国内,中老年文娱教育平台，提供线下课程、旅游社交等服务，聚焦55-70岁人群精神文化需求。,老年文娱,社交平台
美篇,美篇,文娱社交,文娱;社交平台,B2B+B2C,平台,,国内,中老年图文创作社区，微信生态内热门应用，提供图文排版、影集制作等功能，是银发群体重要的内容创作和分享平台。,老年文娱,社交平台
苗米,苗米,医疗健康,健康监测;健康管理,B2C,服务商,,国内,智慧养老相关企业，提供养老信息化和智能化解决方案。,健康服务,健康养生
迈步,迈步,医疗健康;康复辅具;智能科技;消费品,外骨骼;康复医疗;智能硬件;机器人,B2B+B2C,服务商,,国内,康复机器人企业，专注于下肢康复外骨骼机器人研发，为卒中患者和老年人提供康复训练方案。,康复设备,运动康复
远也,远也,医疗健康;康复辅具;消费品,外骨骼;康复医疗;智能硬件,B2C,制造商(硬件/设备),,国内,柔性外骨骼和智能穿戴企业，研发轻便型助行外骨骼，为老年人和行动不便人群提供日常助行支持。,康复设备,运动康复
量子之歌,量子之歌,文娱社交,文娱;社交平台,B2C,服务商,,国内,在线教育集团（NASDAQ: QSG），旗下启牛学堂等品牌，提供金融素养和兴趣学习课程，中老年用户占比显著。,老年文娱,社交平台
闲趣岛,闲趣岛,文娱社交,文娱;旅游;社交平台,B2B+B2C,平台,线上,国内,中老年社交文娱平台，提供兴趣社区、线上课程、旅游社交等服务。,老年文娱,社交平台
集思鸣智,集思鸣智,养老服务;医疗健康,养老机构;认知症,未标注,服务商,,国内,脑科学与认知健康企业，提供认知功能评估和训练解决方案。,失智老人赛道,照护机构
颐养通,颐养通,养老服务,适老化;适老化改造,B2B,平台,,国内,智慧养老信息化平台，为养老机构和社区提供运营管理SaaS系统。,适老化改造,适老家居产品
颐家,颐家,养老服务,专业护理;居家护理,B2B+B2C,平台,,国内,居家养老护理服务商，成立于上海，提供居家护理、康复、陪护等服务，是上海长护险定点服务机构。,养老服务,专业级护理
颐讯,颐讯,养老服务,适老化;适老化改造,B2B+B2C,服务商,,国内,养老信息化服务商，为养老机构提供管理系统和运营支持工具。,适老化改造,适老家居产品
鲸鱼陪诊,鲸鱼陪诊,养老服务;医疗健康,健康管理;居家护理,B2C,服务商,,国内,专业陪诊服务平台，为老年人、孕妇等提供就医陪同、代办服务等。,健康服务,健康养生
鹤灵医疗,鹤灵医疗,养老服务;医疗健康,养老机构;认知症,未标注,服务商,,国内,医疗健康企业，专注于老年医疗和康复领域。,失智老人赛道,照护机构
麦麦养老,麦麦养老,养老服务;消费品,智能硬件;适老化;适老化改造,B2B+B2C,平台,,国内,智慧养老解决方案提供商，为养老机构和社区提供智能化管理平台和硬件设备。,适老化改造,适老家居产品
AID上海老博会,AID上海老博会,文娱社交,咨询研究,B2B,服务商(媒体/数据),,国内,中国国际老龄产业博览会，每年在上海举办，汇聚全球养老产品与服务供应商，是国内最大养老产业展会之一。,行业服务,行业展会
BAI资本,BAI资本,金融保险,产业资本,B2C,服务商,,国内,贝塔斯曼亚洲投资基金（Bertelsmann Asia Investments），关注消费、教育、医疗健康领域的早期和成长期投资，在银发经济领域有多个布局。,产业资本,消费背景
CMEF,,文娱社交;消费品,咨询研究;智能硬件,B2B,制造商(硬件/设备),,国内,中国国际医疗器械博览会（China Medical Equipment Fair），每年春秋两届，是中国最大的医疗器械及养老康复设备展会。,行业服务,行业展会
EE广州老博会,EE广州老博会,文娱社交,咨询研究,B2B,服务商(媒体/数据),,国内,广州国际养老健康产业博览会，聚焦华南地区养老产业，涵盖养老机构、智能家居、康复辅具等领域。,行业服务,行业展会
ITH康养家,ITH康养家,文娱社交;智能科技,数字化;行业媒体,B2B,服务商(媒体/数据),,国内,ITH康养家是智慧康养产业媒体平台，聚焦养老科技、智慧康养解决方案，提供行业资讯、企业访谈和产业研究。,行业服务,行业媒体
OKCS,,养老服务,居家护理,B2B+B2C,平台,,国内,OKCS（居家康养服务平台），提供居家养老服务标准化解决方案，涵盖护理员培训、服务派单、质量管理等环节。,行业服务,行业媒体
SIC保利老博会,SIC保利老博会,文娱社交;消费品,咨询研究;智能硬件,B2B+B2C,制造商(硬件/设备),,国内,保利国际老博会（SIC），由保利集团主办，聚焦养老产业全链条，包括养老地产、康养设备、养老服务等领域。,行业服务,行业展会
VTN,,食品营养,保健品,B2C,制造商(消费品),,国内,VTN是澳大利亚高端健康品牌购物平台，聚焦营养保健品、护肤品等领域，在银发健康消费市场有布局。,健康食品,保健品&OTC
WonderLab,,食品营养,保健品;营养食品,B2C,制造商(消费品),,国内,WonderLab是中国新锐营养品牌，聚焦肠道健康、代餐等产品，在银发健康营养市场有一定布局。,健康食品,保健品&OTC
一号护工,一号护工,养老服务,专业护理;居家护理,B2B+B2C,平台,,国内,一号护工是居家养老护理服务平台，提供专业护理员上门服务，涵盖生活照料、医疗护理、康复训练等。,养老服务,专业级护理
一味盛长,一味盛长,医疗健康,药品,未标注,服务商,,国内,一味盛长是中医康养品牌，融合传统中医药与现代健康管理，为老年人群提供中医调理、养生保健服务。,养老用品,肢体障碍
一家依,一家依,养老服务,养老社区;居家护理,B2B+B2C,平台,,国内,一家依是社区居家养老服务平台，提供日间照料、上门护理、老年餐桌等服务，深耕社区场景。,养老地产,运营商
一康,一康,医疗健康;消费品,医疗器械;康复医疗;智能硬件,B2B+B2C,平台,,国内,一康是康复医疗设备品牌，专注于智能康复训练设备研发，服务养老机构和社区康复中心。,康复设备,运动康复
一龄集团,一龄集团,医疗健康;文娱社交;金融保险,产业资本;健康管理;旅游,B2C,服务商,,国内,一龄集团是大健康产业集团，布局生命养护、健康管理、医疗旅游等业务，在银发健康管理领域有深度布局。,老年文娱,社交平台
万德厨,万德厨,养老服务;消费品,专业护理;智能硬件;适老化,B2B+B2C,制造商(硬件/设备),,国内,万德厨是适老化厨房解决方案品牌，专注于老年人厨房安全改造、智能厨房设备研发。,养老服务,专业级护理
三替护理,三替护理,养老服务,专业护理;居家护理,B2B+B2C,平台,,国内,三替护理是居家养老护理服务品牌，提供专业护理员上门、医院陪护、居家照料等服务，深耕浙江市场。,养老服务,专业级护理
上品折扣,上品折扣,渠道零售,零售,B2B,服务商(媒体/数据),,国内,上品折扣是折扣零售品牌，在银发消费领域有布局，提供适合老年人的平价商品选择。,行业服务,行业媒体
上海剪爱,上海剪爱,消费品,个护,未标注,服务商,,国内,上海剪爱是老年人理发服务品牌，专注于为行动不便老人提供上门理发服务，解决老年人生活服务痛点。,失智老人赛道,照护机构
世道,世道,养老服务,居家护理;适老化,B2B+B2C,平台,,国内,世道（SHIDO）是智能护理床品牌，专注于多功能电动护理床研发制造，产品覆盖养老机构和居家场景。,养老用品,肢体障碍
东方华康,东方华康,养老服务;医疗健康,养老社区;慢病管理,B2B+B2C,服务商,,国内,东方华康是康复医疗集团，运营多家康复医院和护理院，提供术后康复、老年慢病管理、失能照护等服务。,养老地产,运营商
东方购物,东方购物,智能科技;渠道零售,数字化;零售,B2B,服务商(媒体/数据),,国内,东方购物是上海文广旗下电视购物平台，在中老年消费市场占据重要地位，是银发电视购物的主要渠道之一。,行业服务,行业媒体
中匠福,中匠福,养老服务,居家护理;适老化;适老化改造,B2B+B2C,平台,,国内,中匠福是适老化改造服务品牌，提供居家适老化改造、养老机构装修等一站式解决方案。,适老化改造,适老家居产品
中金佰仁堂,中金佰仁堂,养老服务,养老社区,B2B+B2C,平台,,国内,中金佰仁堂是中金资本旗下养老产业投资平台，专注养老地产和养老服务机构投资。,养老地产,运营商
中顺洁柔,中顺洁柔,金融保险,产业资本,未标注,上市公司,,国内,中顺洁柔是国内生活用纸龙头品牌，在银发日用品消费市场占据重要地位，已上市。,产业资本,相关上市公司
乐力,乐力,医疗健康;食品营养,保健品;营养食品;认知症,B2C,制造商(消费品),,国内,乐力是营养保健品品牌，专注钙补充剂和肠道健康产品，在银发保健品市场有广泛认知度。,健康食品,保健品&OTC
乐唱族,乐唱族,文娱社交,文娱;社交平台,B2C,平台,线上,国内,乐唱族是中老年在线K歌社交平台，提供线上唱歌、交友等娱乐服务。,老年文娱,社交平台
乐成养老,乐成养老,养老服务,养老社区,B2B+B2C,平台,,国内,乐成养老是北京乐成集团旗下养老产业品牌，运营恭和苑等高端养老社区，是国内最早的民营养老运营商之一。,养老地产,运营商
乐陪护,乐陪护,养老服务,专业护理;居家护理,B2B+B2C,平台,,国内,乐陪护是医院陪护和居家养老护理服务平台，提供专业陪护人员上门服务。,养老服务,专业级护理
乐龄圈,乐龄圈,文娱社交,文娱;社交平台,B2B+B2C,平台,,国内,乐龄圈是中老年社区社交平台，提供兴趣社交、活动组织和资讯服务。,老年文娱,社交平台
九如城,九如城,养老服务,养老社区,B2B+B2C,服务商,,国内,九如城是国内领先的康养服务品牌，运营连锁养老机构和社区养老服务中心，在长三角地区有深度布局。,养老地产,运营商
云芯信息,云芯信息,养老服务;消费品,居家护理;智能硬件;适老化;适老化改造,B2B+B2C,平台,,国内,云芯信息是适老化产品品牌，专注老年人居家环境改造和适老化设备研发。,适老化改造,适老家居产品
云货优选,云货优选,渠道零售,电商,B2C,平台,线上,国内,云货优选是社交电商平台，通过社交裂变模式销售品牌折扣商品，在中老年女性消费群体中有较高渗透率。,行业服务,行业媒体
互邦,互邦,养老服务,适老化,B2B,技术服务商,,国内,互邦是康复辅具品牌，专注轮椅、助行器等康复辅助器具研发制造，服务老年和残障人群。,养老用品,肢体障碍
享佳健康,享佳健康,医疗健康;食品营养,保健品;慢病管理,B2C,制造商(消费品),,国内,享佳健康是中老年健康管理服务平台，提供健康咨询、保健品销售和慢病管理服务。,行业服务,行业媒体
享睡,享睡,医疗健康,健康监测;健康管理,B2C,服务商,,国内,享睡是睡眠健康品牌，专注老年人睡眠监测和睡眠改善产品。,健康服务,健康养生
亲和源,亲和源,养老服务;文娱社交,养老社区;旅游,未标注,上市公司,,国内,亲和源是国内首家上市养老社区品牌，专注高端会员制养老社区，在上海等地运营大型养老社区。,养老地产,运营商
人寿堂,人寿堂,医疗健康,药品,B2B+B2C,平台,,国内,人寿堂是国药集团旗下中医养生品牌，融合传统中医药与现代健康管理，服务老年人群。,养老地产,运营商
亿芃健康,亿芃健康,养老服务;消费品,智能硬件;适老化,B2B+B2C,制造商(硬件/设备),,国内,亿芃健康是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。,养老用品,肢体障碍
今旭面业,今旭面业,食品营养,保健品,B2C,制造商(消费品),,国内,今旭面业是面食品牌，推出适合老年人消化的营养面条产品线。,健康食品,保健品&OTC
仙乐健康,仙乐健康,食品营养,保健品,未标注,上市公司,,国内,仙乐健康是营养保健食品CDMO龙头，为全球品牌提供营养保健品研发和代工服务，在银发营养市场有深度布局，已上市。,健康食品,保健品&OTC
令羽,令羽,消费品,鞋服,B2B,服务商(媒体/数据),,国内,令羽是中老年服饰品牌，专注适合老年人的舒适功能性服装。,行业服务,行业媒体
伊对,伊对,文娱社交,文娱;相亲;社交平台,B2C,平台,,国内,伊对是下沉市场婚恋社交平台，专注视频相亲交友，在中老年单身群体中有较高使用率。,老年文娱,社交平台
优加健康,优加健康,医疗健康;金融保险,保险;健康管理;慢病管理,B2B+B2C,服务商,,国内,优加健康是健康管理平台，提供中老年慢病管理和健康保险服务。,健康服务,健康养生
优复门诊,优复门诊,医疗健康;消费品,康复医疗;慢病管理;智能硬件,B2B+B2C,服务商,,国内,优复门诊是康复医疗连锁机构，提供运动康复、术后康复、老年慢病康复等服务，在上海等一线城市运营。,康复设备,运动康复
优必选,优必选,养老服务;智能科技,机器人;适老化,未标注,上市公司,,国内,优必选科技是人形机器人和智能机器人研发商，在养老陪护机器人、康复训练机器人领域有布局，已在港交所上市。,养老用品,肢体障碍
优生活,优生活,食品营养,保健品,B2C,制造商(消费品),,国内,优生活是中老年消费品品牌，专注适合老年人的日常用品和健康食品。,健康食品,保健品&OTC
余生幸福,余生幸福,文娱社交,文娱;相亲;社交平台,B2C,平台,,国内,余生幸福是中老年婚恋社交平台，专注银发群体的相亲交友服务。,老年文娱,社交平台
佛山建泰,佛山建泰,养老服务,适老化,未标注,服务商,,国内,佛山建泰是适老化建材品牌，专注防滑地板、无障碍扶手等适老化装修材料。,养老用品,肢体障碍
佛山永爱,佛山永爱,养老服务,适老化;适老化改造,B2C,服务商,,国内,佛山永爱是适老化家具和养老机构配套设施品牌，为养老机构提供整体适老化空间解决方案。,适老化改造,适老家居产品
作为科技,作为科技,养老服务;医疗健康;智能科技;消费品,专业护理;健康监测;智能硬件;机器人;适老化,B2B+B2C,制造商(硬件/设备),,国内,作为科技是智能适老化产品研发商，专注防跌倒监测、睡眠监测等智慧养老设备。,养老用品,肢体障碍
佰丝堂,佰丝堂,食品营养,保健品,B2B,服务商(媒体/数据),,国内,佰丝堂是中医养生品牌，提供中药调理、药膳食疗等传统中医养生服务。,行业服务,行业媒体
依瑞德,依瑞德,医疗健康;消费品,医疗器械;康复医疗;智能硬件;认知症,B2B+B2C,制造商(硬件/设备),,国内,依瑞德是医疗设备品牌，专注经颅磁刺激（TMS）等神经调控设备研发，在老年抑郁、认知障碍治疗领域有应用。,康复设备,运动康复
倍益康,倍益康,养老服务;消费品,居家护理;智能硬件,B2B+B2C,平台,,国内,倍益康是康复理疗设备品牌，研发生产颈腰椎牵引设备、理疗仪等产品，服务社区康复和居家康复场景。,行业服务,行业媒体
倍轻松,倍轻松,消费品,智能硬件,未标注,上市公司,,国内,倍轻松是智能健康硬件品牌，专注眼部、颈部、头部按摩器研发制造，在银发健康消费市场有广泛布局，已上市。,行业服务,行业媒体
健特药业,健特药业,食品营养,保健品,B2C,制造商(消费品),,国内,健特药业是保健品品牌，旗下脑白金是中国最知名的老年保健品之一。,健康食品,保健品&OTC
健行仿生,健行仿生,养老服务;康复辅具,外骨骼;适老化,B2B+B2C,服务商,,国内,健行仿生（BionicM）是外骨骼机器人研发商，专注智能假肢和外骨骼产品，帮助老年人和残障人士恢复行动能力。,养老用品,肢体障碍
元气家族,元气家族,食品营养,保健品;营养食品,B2C,制造商(消费品),,国内,元气家族是健康营养品品牌，专注中老年维生素和矿物质补充剂。,健康食品,保健品&OTC
兆观,兆观,医疗健康;消费品,健康监测;健康管理;智能硬件,B2B+B2C,制造商(硬件/设备),,国内,兆观是睡眠监测和呼吸健康设备品牌，专注老年人睡眠呼吸监测产品。,健康服务,健康养生
光大养老,光大养老,养老服务,养老社区,B2B+B2C,平台,,国内,光大养老是光大集团旗下养老产业平台，运营多家养老机构和社区养老服务中心，是央企背景养老运营商。,养老地产,运营商
养乃世家,养乃世家,食品营养,保健品;营养食品,B2C,制造商(消费品),,国内,养乃世家是羊奶品牌，专注中老年配方羊奶粉，在银发营养食品市场有较高知名度。,健康食品,保健品&OTC
冬泽,冬泽,食品营养,保健品;营养食品,B2C,制造商(消费品),,国内,冬泽是特殊医学用途配方食品品牌，专注肠内营养液和老年营养补充剂。,健康食品,保健品&OTC
凌晴翔,凌晴翔,养老服务;消费品,智能硬件;适老化,B2B+B2C,制造商(硬件/设备),,国内,凌晴翔是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。,养老用品,肢体障碍
初新养老,初新养老,养老服务,养老社区,B2B+B2C,平台,,国内,初新养老是养老机构运营商，运营养老社区或康养项目。,养老地产,运营商
动龄健康,动龄健康,文娱社交,文娱;社交平台,B2C,服务商,,国内,动龄健康是老年运动健康平台，提供适合老年人的运动课程和健康监测服务。,老年文娱,社交平台
匹奇,匹奇,消费品,智能硬件,B2B,制造商(硬件/设备),,国内,匹奇是健康器械品牌，专注家用理疗设备、按摩器等银发健康产品。,行业服务,行业媒体
医护到家,医护到家,养老服务,专业护理;居家护理,B2B+B2C,平台,,国内,医护到家是上门医疗护理服务平台，提供护士上门、护理员上门等服务，专注老年居家医疗需求。,养老服务,专业级护理
千骥资本,千骥资本,金融保险,产业资本,B2B+B2C,服务商,,国内,千骥资本是专注医疗健康领域的风险投资基金，在老年医疗、康复护理等银发经济赛道有多个投资布局。,产业资本,消费背景
半月浮生,半月浮生,文娱社交,文娱,B2B,服务商(媒体/数据),,国内,半月浮生是中老年文化内容品牌，专注银发群体的兴趣课程和文化产品。,行业服务,行业媒体
华友健身,华友健身,文娱社交,健身;文娱;社交平台,B2C,服务商,,国内,华友健身是健身品牌，推出适合老年人的低强度健身课程和运动方案。,老年文娱,社交平台
华润维麟,华润维麟,养老服务,养老社区,B2B+B2C,平台,,国内,华润维麟是养老机构运营商，运营养老社区或康养项目。,养老地产,运营商
卓牧,卓牧,食品营养,保健品,未标注,服务商,,国内,卓牧是羊奶品牌，专注中老年配方羊奶产品，在银发乳制品市场有布局。,健康食品,保健品&OTC
南京携才,南京携才,养老服务,专业护理;居家护理,B2B+B2C,平台,,国内,南京携才是居家养老服务平台，提供社区养老、居家护理等服务，深耕江苏市场。,养老服务,专业级护理
博博科技,博博科技,医疗健康;消费品,健康监测;健康管理;智能硬件,B2C,制造商(硬件/设备),,国内,博博科技是智能健康设备研发商，专注老年人跌倒检测和健康监测可穿戴设备。,健康服务,健康养生
博远资本,博远资本,金融保险,产业资本,B2B,制造商(硬件/设备),,国内,博远资本是专注医疗健康产业的投资基金，在创新药、医疗器械和老年健康领域有投资布局。,产业资本,消费背景
博音,博音,养老服务;消费品,助听器;智能硬件;适老化,B2B+B2C,制造商(硬件/设备),,国内,博音是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。,养老用品,肢体障碍
厚福,厚福,养老服务;消费品,智能硬件;适老化,B2B+B2C,服务商,,国内,厚福是康复护理设备品牌，专注护理床、康复训练设备等养老机构常用设备制造。,养老用品,肢体障碍
友达颐康,友达颐康,养老服务,居家护理;适老化;适老化改造,B2B+B2C,平台,,国内,友达颐康是智慧养老平台，提供社区居家养老信息化管理、健康监测等服务。,适老化改造,适老家居产品
可靠,可靠,养老服务,适老化,B2B+B2C,服务商,,国内,可靠是成人护理用品品牌，专注成人纸尿裤、护理垫等失禁用品，在银发日用品市场占据重要份额。,养老用品,肢体障碍
台格,台格,养老服务,居家护理;适老化,B2B+B2C,平台,,国内,台格是适老化家具品牌，专注养老机构和居家适老化家具设计制造。,行业服务,行业媒体
司羿智能,司羿智能,医疗健康;康复辅具;智能科技;消费品,外骨骼;康复医疗;智能硬件;机器人,B2B+B2C,服务商,,国内,司羿智能是康复机器人研发商，专注手部康复机器人、下肢外骨骼等产品，服务脑卒中和老年康复患者。,康复设备,运动康复
同仁堂,同仁堂,医疗健康,药品,B2C,制造商(消费品),,国内,同仁堂是中华老字号中药品牌，创立于1669年，在老年保健品、中药调理、养生领域有深厚布局。,健康食品,保健品&OTC
和乐春晖,和乐春晖,养老服务;消费品,居家护理;智能硬件;适老化;适老化改造,B2B+B2C,平台,,国内,和乐春晖是适老化产品品牌，专注老年人居家环境改造和适老化设备研发。,适老化改造,适老家居产品
和佳医疗,和佳医疗,医疗健康;消费品,医疗器械;康复医疗;智能硬件,未标注,上市公司,,国内,和佳医疗是医疗设备和医院整体解决方案提供商，在康复医疗和养老设备领域有布局，已上市。,康复设备,运动康复
和君康养,和君康养,养老服务,养老社区,B2B,服务商,,国内,和君康养是和君咨询旗下康养产业咨询品牌，为养老地产、康养小镇等项目提供规划咨询和运营管理服务。,行业服务,行业媒体
和家健脑,和家健脑,养老服务;医疗健康,养老机构;认知症,未标注,服务商,,国内,和家健脑是认知训练平台，专注老年人认知衰退筛查和脑健康训练。,失智老人赛道,照护机构
品驰,品驰,医疗健康;消费品,医疗器械;康复医疗;智能硬件,B2B,制造商(硬件/设备),,国内,品驰医疗是脑起搏器（DBS）研发商，专注神经调控医疗器械，在帕金森等老年神经退行性疾病治疗领域处于国产领先地位。,康复设备,运动康复
响午,响午,消费品,鞋服,B2C,制造商(硬件/设备),,国内,响午是老年智能可穿戴品牌，专注老年智能手表、健康监测手环等产品。,行业服务,行业媒体
哺恩,哺恩,养老服务,养老社区,B2B+B2C,平台,,国内,哺恩是养老机构运营商，运营养老社区或康养项目。,养老地产,运营商
唯艾,唯艾,医疗健康;消费品,健康管理;智能硬件,B2B+B2C,制造商(硬件/设备),,国内,唯艾是中医艾灸健康品牌，提供智能艾灸设备和中医养生服务。,健康服务,健康养生
嘉堡护理,嘉堡护理,养老服务,养老社区,B2B+B2C,平台,,国内,嘉堡护理是养老机构运营商，运营养老社区或康养项目。,养老地产,运营商
嘉年乐,嘉年乐,养老服务;消费品,居家护理;智能硬件;适老化;适老化改造,B2B+B2C,平台,,国内,嘉年乐是适老化产品品牌，专注老年人居家环境改造和适老化设备研发。,适老化改造,适老家居产品
国寿大健康,国寿大健康,金融保险,产业资本,未标注,服务商,,国内,国寿大健康是中国人寿旗下大健康产业投资基金，聚焦医疗健康和养老服务领域的股权投资。,产业资本,消费背景
国科优选,国科优选,食品营养,保健品,B2C,制造商(消费品),,国内,国科优选是营养保健品品牌，在中老年健康营养市场有布局，提供适合银发人群的保健产品。,健康食品,保健品&OTC
