serial,name,tag_l1,tag_l2,desc_len,desc_preview,desc_cn_len,desc_cn_preview,rv,sig,total,has_recommend,reco_len
#1341,MonSenior,行业服务,养老信息平台,22,老年人生活辅助与良好老龄化服务平台（法国）。,97,法国面向老年人的生活辅助与良好老龄化数字平台，连接本地家政、出行、健康提醒与社区活动，帮助活力长者维持独立居家生活。公开融资与运营数据有限，模式偏轻量平台撮合，国内社区养老可参考其服务聚合思路。,49.6,0.55,7.5,True,89
#1360,上海青浦区艾芙老人家服务中心,养老服务,居家护理,22,"居家养老
【提供资源】居家
【需求资源】技术",22,"居家养老
【提供资源】居家
【需求资源】技术",39.6,0.55,5.9,True,71
#1441,磊品优选,消费品,电商,22,"流量
【提供资源】流量
【需求资源】银发货盘",102,磊品优选在养老供需表以'流量+银发货盘'定位登记，自称手握流量、寻求银发商品供应链，公开工商与新闻资料极少，暂无官网、融资或运营数据可查，属银发私域电商生态中的货盘与流量撮合角色，真实规模与模式未获佐,45.6,0.55,6.8,True,73
#1512,北京信托,金融保险,金融理财,22,"持续关注
【提供资源】资金
【需求资源】项目",22,"持续关注
【提供资源】资金
【需求资源】项目",41.6,0.55,6.4,True,149
#0416,甲子科技(甲子养老),养老服务/康复辅具,居家护理/助行器,23,线下门店销售代步车、适老辅具，上门测量改造服务,12,适老辅具线下门店与改造商,35.7,0.55,5.5,True,127
#0424,唯艾科技,消费品,个人护理,23,家用、门店智能艾灸理疗，中老年养生体验转化产品,11,智能艾灸理疗养生服务商,34.7,0.55,5.5,True,98
#0637,Biomotum,康复辅具,助行器,23,智能辅助设备优化人类移动性，双脚电动自行车技术,23,智能辅助设备优化人类移动性，双脚电动自行车技术,42.7,0.55,6.4,True,133
#0656,Carefull,金融保险,金融理财,23,AI帮助银行和理财顾问保护老年客户免受金融诈骗,153,面向老年人的金融安全AI平台，2025年推出GreyMatter引擎，实时监测老年客户银行账户的异常交易、身份盗用与诈骗风险，并通过银行/理财顾问等机构触达用户及家属。收入来自向金融机构收取的B2B授,50.7,2.55,8.8,True,165
#0787,MindMics,消费品,心血管,23,日常耳机改造成健康监测器，次声波技术心血管监测,23,日常耳机改造成健康监测器，次声波技术心血管监测,38.7,0.55,5.9,True,88
#0842,Senior Planet,文娱社交,教育,23,60岁以上课程，社会参与、财务安全、健康保健等,23,60岁以上课程，社会参与、财务安全、健康保健等,38.7,0.55,5.9,True,98
#0864,Spark Advisors,金融保险,保险科技,23,帮助医疗保险经纪人进行营销、销售支持、后台管理,131,面向独立联邦医保(Medicare)经纪人与代理机构的一站式SaaS：整合CRM、报价、投保、合约、佣金对账等全流程，并用AI做客户流失防御与自动续保触达。收入来自机构订阅与按保单量计费。核心银发价值,40.6,2.55,7.3,True,98
#0890,TympaHealth,康复辅具,医疗器械,23,耳部和听力健康评估系统，数字耳镜检查+听力评估,142,TympaHealth是面向基层与社区医疗的耳与听力健康一体化系统：单一便携设备集成高清数字耳镜、耵聍微吸与4频听力检查，结果上云并可直接转介耳鼻喉专家。收入来自设备加软件订阅卖给NHS、药房与诊所。,44.6,2.55,7.8,True,136
#0922,Zing Health,养老服务,SDOH,23,解决健康社会决定因素，减少服务不足人群医疗差距,84,聚焦健康社会决定因素（SDOH）的老年健康平台，旨在缩小服务不足人群医疗差距，2024年获1.4亿美元融资。打法是把住房、营养、交通等社会因素纳入健康干预，偏政策导向。,49.1,0.55,7.1,True,157
#0938,镰仓新书,养老服务,殡葬,23,日本京东上市的殡葬服务公司，购墓、殡仪、佛坛等,143,"运营""いい葬儀/いいお墓""等日本最大级终活门户的供养与终活专门企业，提供葬仪、墓园、佛坛、相续、介护等一站式信息撮合与免费咨询，2025年承继Ateam旗下""Life.""事业。收入来自向殡葬/墓园等B",66.7,6.55,13.3,True,87
#0990,JOY FOR ALL,文娱社交,陪伴机器人/陪伴服务,23,交互式陪伴猫/狗，为长者带来舒适、陪伴与乐趣。,23,交互式陪伴猫/狗，为长者带来舒适、陪伴与乐趣。,45.6,0.55,7.0,True,83
#0999,Lindera,康复辅具,跌倒监测,23,开发AI步行分析App优化日常照护并专注防跌倒,81,开发AI步行分析App优化日常照护、专注防跌倒的公司，用手机或传感做步态风险评估，亮点在轻量软件方案易落地；但仅A轮、公开数据较薄，实际临床效果仍需更多证据支撑。,49.6,0.55,7.5,True,87
#1019,CARU,康复辅具,紧急呼叫,23,瑞士紧急呼叫系统，支持按钮/语音与自动跌倒检测,85,瑞士紧急呼叫系统，支持按钮、语音与自动跌倒检测，亮点在无操作门槛的主动呼救，成长期、信息较薄，代表阿尔卑斯地区适老应急硬件的成熟供给形态，可对标，适合国内参考其触发设计。,49.6,0.55,7.5,True,108
#1021,AutumnCare,康复辅具,用药管理,23,澳洲临床管理云软件，含电子药管与现场点采集数据,23,澳洲临床管理云软件，含电子药管与现场点采集数据,40.6,0.55,6.0,True,70
#1023,Care Daily,消费品,智能硬件,23,AI管家学行为基线，预测隐秘健康问题与节能安防,85,AI管家学习居家行为基线，预测隐秘健康变化并兼顾节能与安防，强调无摄像头，亮点在隐私友好的智能硬件被动监测，成长期、信息有限，适合作为隐私优先监测的思路参考，国内可关注。,49.6,0.55,7.5,True,93
#1030,CareConnectMD,养老服务,护理协调,23,25年经验将价值型照护带入急性后设置的复杂病患,91,有25年经验将价值型照护延伸到急性后设置的复杂病患，协调医生、护理与社区资源做居家与机构衔接，服务高龄与多病老人，按项目向支付方收费，是复杂病例管理网络，覆盖术后与多病延续照护场景。,43.7,0.55,6.4,True,107
#1031,HaloCare,养老服务,远程护理,23,爱尔兰辅助生活技术，用智能设备虚拟监护老人居家,86,HaloCare是爱尔兰的辅助生活技术企业，用智能设备与虚拟监护平台远程看护居家长者，连接护理团队与家属，属养老远程护理类的数字化方案，覆盖海外多个社区，降低上门巡检成本。,46.6,0.55,7.1,True,85
#1034,Sensara,康复辅具,跌倒监测,23,自学习传感技术，仅发相关警报让老人自由活动防跌,84,用自学习传感技术只发相关警报、让老人自由活动防跌的公司，亮点在降误报、保尊严，A轮、信息有限，是跌倒监测里以算法减误报为卖点的代表性轻量方案，值得关注，国内可持续跟踪。,49.6,0.55,7.5,True,70
#1036,Cubigo,行业服务,养老软件,23,养老生活云集成非临床运营（餐饮、维修等）提效率,86,养老生活云集成非临床运营（餐饮、维修、活动报名等），连接长者、家属与运营方，提升社区运营效率，按SaaS订阅向养老社区收费，是社区运营数字化中台，已在多个养老社区落地部署。,43.7,0.55,6.4,True,79
#1049,Cadense,消费品,服装鞋帽,23,结合机器人与生物力学的自适应鞋，帮助行走困难者,102,Cadense推出结合机器人技术与生物力学的自适应鞋，鞋底可随穿戴者步态自动调节摩擦力与支撑，帮助行走困难或中风康复人群更稳地迈步，定位消费级助行 footwear，融合康复功能与日常时尚，尚处早期推,38.7,0.55,5.9,True,90
#1075,腾讯 Robotics X,康复辅具,机器人,23,居家服务机器人“小五”，面向人机协作的养老服务,194,腾讯Robotics X实验室2018年成立，2024年9月发布第五代人居环境机器人'小五'（The Five）：四腿轮足复合、大面积触觉皮肤、多指灵巧手与安全人机物理交互系统，面向智慧养老场景，可抱,45.6,0.55,7.0,True,113
#1339,SingFit,文娱社交,文娱,23,治疗性音乐/歌唱数字疗法，非药物改善痴呆认知。,23,治疗性音乐/歌唱数字疗法，非药物改善痴呆认知。,41.6,0.55,6.2,True,77
#1340,Optina Diagnostics,行业服务,AI医疗,23,视网膜高光谱成像检测脑淀粉样蛋白，AD 早筛。,23,视网膜高光谱成像检测脑淀粉样蛋白，AD 早筛。,41.6,0.55,6.2,True,84
#1365,谢红家政服务部,养老服务,家政,23,"有团队
【提供资源】团队长
【需求资源】好项目",23,"有团队
【提供资源】团队长
【需求资源】好项目",39.6,0.55,5.9,True,86
#1417,无锡市德盛社会工作服务中心,文娱社交,社区,23,"社区养老
【提供资源】服务
【需求资源】志愿者",23,"社区养老
【提供资源】服务
【需求资源】志愿者",35.6,0.55,5.3,True,78
#0148,天空树,消费品,个人护理/美妆护肤,24,个人护理品牌，主打头皮头发或肌肤护理类适老产品。,96,专注遮白发的假发品牌，依托许昌产业带自建源头工厂，以0.1cm超薄网底技术与真人发丝工艺生产时尚假发片，通过天猫抖音直播矩阵与线下体验店销售，并配终身售后护理，覆盖中年及老年女性形象管理需求。,40.7,0.55,6.2,True,86
#0444,曼景科技,康复辅具,康复器械,24,神经调控康复设备，聚焦老年认知障碍、精神疾病康复,24,神经调控康复设备，聚焦老年认知障碍、精神疾病康复,37.7,0.55,5.8,True,94
#0445,品驰医疗,康复辅具,康复器械,24,脑起搏器龙头，帕金森等老年神经疾病植入式治疗设备,24,脑起搏器龙头，帕金森等老年神经疾病植入式治疗设备,39.6,0.55,6.0,True,152
#0591,Google,文娱社交,就业,24,科技公司，设有职场回归项目吸纳职业中断的资深人才,24,科技公司，设有职场回归项目吸纳职业中断的资深人才,38.7,0.55,5.9,True,83
#0701,findhelp,养老服务,SDOH,24,"美国领先的社会护理网络，536,269个计划地点",24,"美国领先的社会护理网络，536,269个计划地点",36.6,0.55,5.5,True,96
#0748,JOGO Health,消费品/康复辅具,尿失禁/医疗器械,24,利用大脑神经可塑性治疗慢性疼痛和失禁，FDA批准,91,JOGO Health是用神经可塑技术治疗慢性疼痛与失禁的理疗企业，其设备获FDA批准，以非侵入方式帮患者恢复盆底与神经控制，属康复与适老交叠的居家康复服务，主要服务慢病与术后人群。,45.6,0.55,6.8,True,85
#0764,Lilli,养老服务,远程护理,24,AI远程监控设备，支持家庭护理，9:1投资回报率,95,做居家与机构场景AI远程看护硬件，借传感器感知起居异动并向护理方预警，宣称投入回报约九比一，2024年初获八百二十万英镑融资、累计约八百二十万美元，以被动传感取代人工巡房、放大护理人力杠杆。,49.6,0.55,7.5,True,85
#0786,MindAhead,养老服务,心理健康,24,基于行为激活的治疗应用程序，轻度认知障碍和痴呆症,24,基于行为激活的治疗应用程序，轻度认知障碍和痴呆症,38.7,0.55,5.9,True,71
#0791,Monogram Health,养老服务,专业护理/居家护理,24,多种慢性疾病居家护理，2023年收入近22亿美元,141,美国价值导向的多专科居家护理商，主攻慢性肾病等老年高发慢病，由护士与多学科团队上门提供医疗、用药与生活方式干预。与Medicare Advantage及商业健康计划签按价值付费风险合同，覆盖36州、服,63.2,5.05,11.9,True,113
#0884,Toi Labs,康复辅具,可穿戴监测,24,TrueLoo智能马桶座，光学传感器分析马桶活动,24,TrueLoo智能马桶座，光学传感器分析马桶活动,38.7,0.55,5.9,True,80
#0988,MyHelloLine,文娱社交,陪伴服务,24,孤独干预服务，增加社会连接，在隔离期成为生命线。,24,孤独干预服务，增加社会连接，在隔离期成为生命线。,41.6,0.55,6.2,True,98
#0991,Phoenix Hipwear,消费品,服装鞋帽,24,信息不足：仅公开名称与赛道，无公开规模/营收数据,24,信息不足：仅公开名称与赛道，无公开规模/营收数据,41.6,0.55,6.2,True,89
#0992,Brava,消费品,智能硬件,24,信息不足：仅公开名称与赛道，无公开规模/营收数据,24,信息不足：仅公开名称与赛道，无公开规模/营收数据,41.6,0.55,6.2,True,86
#0998,Emoha,养老服务,居家护理,24,印度居家与旅行老人照护服务，含紧急响应与预防监测,24,印度居家与旅行老人照护服务，含紧急响应与预防监测,42.1,0.55,6.6,True,81
#1002,NurseBuddy,行业服务,养老软件,24,居家照护软件，用AI排班与护理计划节省80%时间,83,面向居家照护机构的排班与护理计划软件，用AI自动排班与生成护理计划，声称可节省护理员八成事务时间，按SaaS订阅向机构收费，提升护工效率与留存，是机构运营数字化工具。,43.7,0.55,6.4,True,84
#1017,Smartcare,行业服务,养老软件,24,养老照护软件与EMR，自动化排班匹配护工提升留存,84,面向养老与长期照护机构的照护软件与电子病历系统，用自动化排班匹配护工技能与班次，提升护工留存与排班效率，按SaaS订阅收费，服务机构日常运营，在本土养老运营中逐步落地。,43.7,0.55,6.4,True,129
#1068,达闼机器人,康复辅具,人形机器人,24,与厦门松霖合作研发配备灵巧手的洗护康养人形机器人,24,与厦门松霖合作研发配备灵巧手的洗护康养人形机器人,38.1,0.55,6.0,True,84
#1099,斯凯奇,消费品,服装鞋帽,24,官宣梁朝伟亚太代言，目光延伸到各年龄段的舒适鞋服,24,官宣梁朝伟亚太代言，目光延伸到各年龄段的舒适鞋服,38.2,0.55,5.9,True,106
#1100,因你 inne,食品营养,维生素矿物质,24,联合刘晓庆发布“黄金年代”主题短片，触达银发群体,24,联合刘晓庆发布“黄金年代”主题短片，触达银发群体,38.2,0.55,5.9,True,125
#1334,BedHub,消费品,智能家居,24,养老照护机构搜索匹配平台，帮助家庭寻找优质机构。,143,家庭-小型养老院透明匹配平台。面向需找小型住家式照护机构的家庭，提供经核验的养老小机构listing、对比工具与直连沟通，不卖家庭信息、不收佣金、不做付费置顶。收入来自向机构端提供BedHub Ope,50.4,2.8,8.8,True,82
#1343,Assystel,康复辅具,紧急呼叫,24,信息不足：仅公开名称与赛道，无公开规模/营收数据,24,信息不足：仅公开名称与赛道，无公开规模/营收数据,41.6,0.55,6.2,True,100
#1344,Xray Moov,消费品,智能硬件,24,信息不足：仅公开名称与赛道，无公开规模/营收数据,24,信息不足：仅公开名称与赛道，无公开规模/营收数据,41.6,0.55,6.2,True,112
#1345,Swissvoice,康复辅具,助听器,24,信息不足：仅公开名称与赛道，无公开规模/营收数据,24,信息不足：仅公开名称与赛道，无公开规模/营收数据,41.6,0.55,6.2,True,99
#1346,Livana Connect,文娱社交,陪伴服务,24,信息不足：仅公开名称与赛道，无公开规模/营收数据,24,信息不足：仅公开名称与赛道，无公开规模/营收数据,45.6,0.55,6.8,True,75
#1452,众安保险,金融保险,保险,24,"健康险
【提供资源】保司zi y
【需求资源】无",24,"健康险
【提供资源】保司zi y
【需求资源】无",41.6,0.55,6.4,True,131
#0422,退休俱乐部(东犁),文娱社交,旅游,25,电视节目引流中老年周边、长线康养旅游，线下聚会服务,12,中老年文娱旅游与社群平台,40.7,0.55,6.2,True,71
#0446,英智康复,养老服务,康复医疗,25,神经康复医疗连锁，脑卒中、老年认知障碍线下康复中心,25,神经康复医疗连锁，脑卒中、老年认知障碍线下康复中心,31.6,0.55,4.8,True,101
#0447,爱康医疗,康复辅具,康复器械,25,骨科植入物+肿瘤康复设备厂商，医用康复器械配套医院,103,研发生产关节置换等骨科植入物，服务老年骨关节炎与术后康复人群，配套肿瘤康复设备进院。收入来自医院端耗材集采中标与销售，部分由医保支付。银发切点是老龄化推高的关节置换量，以及集采背景下进口替代与成本管控,61.6,6.55,12.3,True,91
#0567,Humana,金融保险,保险,25,美国头部Medicare Advantage运营商,25,美国头部Medicare Advantage运营商,38.7,0.55,6.1,True,87
#0568,Aetna,金融保险,保险,25,美国头部Medicare Advantage运营商,25,美国头部Medicare Advantage运营商,38.7,0.55,6.1,True,77
#0569,UnitedHealth,养老服务,居家医疗,25,美国头部Medicare Advantage运营商,25,美国头部Medicare Advantage运营商,38.7,0.55,6.1,True,163
